Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.348,Ch  22.696,Ch  23.043,Ch  23.391,Ch  23.739,Ch  24.087,Ch  24.435,Ch  24.783,Ch  25.130,Ch  25.478,Ch  25.826,Ch  26.174,Ch  26.522,Ch  26.870,Ch  27.217,Ch  27.565,Ch  27.913,Ch  28.261,Ch  28.609,Ch  28.957,Ch  29.304,Ch  29.652,Ch  30.000
2,04/04/23 00:05:05,50,0.0,19.8,306.87747202753195,182.5092288155166,182.84842573304618,177.18816817649028,181.37212213350176,171.6739888297586,177.46676876524532,170.84566305394912,174.50628825497756,173.5541161362936,174.79630366514453,163.35786758257555,172.38076790385261,168.95128748436096,160.37428381876663,169.30061929146424,170.76712287281762,164.43369107574892,168.85140967502446,165.91249298187725,160.6257297888368,167.32577273251434,161.5174699369809,173.52988539721986,165.3938167997593
3,04/04/23 00:05:23,50,45.0,90.0,306.8934598829655,178.72981876098774,179.4084164554022,179.4675726896198,172.26550734069605,179.8783024159907,177.8772368117283,173.63006675516135,176.64483711770976,175.44040365489778,179.2587478753348,167.72861297816172,169.69244913506884,164.20865545514587,170.8335934026564,177.6242312165926,161.76683538508595,173.85320441502975,158.99327271510535,155.21812439051706,163.50945020963567,159.4496122779307,164.5343681624593,157.63636161963336,154.28856376978834
4,04/04/23 00:05:41,50,90.0,160.2,306.91379248127714,183.64679615844878,178.9605468386128,186.0586932568703,184.8136293704519,182.7230704934171,181.47578359686517,177.7158985584998,182.25148102693296,169.36072831264752,172.0384657691393,171.73891979262316,160.5059255764416,161.9413392579618,165.79088684712914,172.59006394162552,171.71290480760405,165.19735323286642,163.0031434408943,158.0152524443733,176.68703702885452,163.49765300482414,156.53387379491645,158.83072147274552,161.0732018386797
5,04/04/23 00:05:59,50,135.0,19.8,306.92240571709937,187.8319540848672,177.8417211074893,175.88632327667622,170.59885383669175,172.6351323415033,181.13798897604505,179.32818946932986,167.9407707869537,183.72221944212393,174.3992764568,171.7560555977377,170.20598721395876,170.79934037346752,171.7654503197059,166.4127740985096,173.95151583598224,158.78804655897565,167.8810689133145,168.28095135989716,163.21476617376902,160.51412401147576,163.86798396852993,166.30717440556373,156.71620072813118
6,04/04/23 00:06:17,50,0.0,90.0,306.9177671284671,179.3346015993851,172.24319330377335,174.72377002375327,180.83095828982923,181.8439882496582,169.26919554625982,169.2864951333751,185.083578824544,168.51875982637284,176.1300014750356,169.5593889416925,164.41780357917318,166.2888321378846,165.38472486420227,174.33752504034328,169.52906472825075,165.3636096743112,159.6121207328899,165.70752175059803,169.7299959739954,160.94158298801412,163.07675994884968,164.78439113852465,166.480601617626
7,04/04/23 00:06:35,50,45.0,160.2,306.9242496037598,179.7417528209271,176.44365134630814,176.66452195296773,189.25602008254899,179.4980813707903,171.87548631914086,174.02254012212046,165.06504208632137,167.8849728026039,171.08024828972208,175.33103509349743,174.69558295851886,163.36638644898898,160.58367927626347,166.698147697087,177.25293840759377,165.63577627867377,169.6948210608828,164.34034701086614,160.87481634960878,161.9752726405037,165.11382436049638,171.01553945174447,153.29650308175414
8,04/04/23 00:06:53,50,90.0,19.8,306.93184580298424,187.39730495368173,176.32848180395453,182.33912102987256,171.93986359831743,180.13328080655202,177.72859112523156,171.90912301599218,172.65535887922775,178.33527350451467,172.79561632867512,165.46748655531874,171.7690147153247,165.83359384623648,160.05918086064202,157.13670515677725,162.58881661975735,152.10376418317605,163.51700518970193,163.94123662842827,162.8045592932252,163.22060538648725,162.6862145304665,163.2904470201659,156.70663163978685
9,04/04/23 00:07:11,50,135.0,90.0,306.92983198464407,184.262469195133,184.84134146307173,180.3299206628843,174.9851112491807,186.43099959307298,178.64639921697298,171.94125808215207,177.27992506005222,177.4270872800527,172.6621705967557,171.01774595034894,166.16067922642733,164.58277292260084,169.36137245658844,163.21095095130318,161.15854377194182,166.24077773851852,163.7685828159683,166.51103016313334,172.75755959711123,160.64024809322498,174.44092668370556,159.49840031282446,162.31135492469107
10,04/04/23 00:07:29,50,0.0,160.2,306.93685499694334,177.58683926971923,180.78273742984499,175.5462797457762,177.82377237265828,175.22900974981442,178.1616235439677,183.54409109645167,175.25221401633002,176.09828854552433,172.5965047356164,171.84003718404043,167.79965922140616,177.93513676606116,169.92847588191447,158.40633855078644,157.99713169400303,164.8664950700897,168.70640234475928,161.5832388848037,160.27763678002037,168.8216874794355,158.48464171292002,163.75705057024683,167.7618313455657
11,04/04/23 00:07:47,50,45.0,19.8,306.9459837757856,183.16900729395095,170.77144108181616,181.28341380680533,175.33013315326625,173.20926538466847,195.3720384423382,177.2637243264781,171.25575295517905,176.6414128832121,168.76507120022205,174.33274907240184,165.59492207527205,174.42962325207273,164.63027612441215,166.52472661233634,174.8929503725975,170.02419542182736,167.89491493779917,160.9125095359661,172.996710735571,158.59186621709753,159.54035273579467,166.869290196327,160.1274557706562
