Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.348,Ch  22.696,Ch  23.043,Ch  23.391,Ch  23.739,Ch  24.087,Ch  24.435,Ch  24.783,Ch  25.130,Ch  25.478,Ch  25.826,Ch  26.174,Ch  26.522,Ch  26.870,Ch  27.217,Ch  27.565,Ch  27.913,Ch  28.261,Ch  28.609,Ch  28.957,Ch  29.304,Ch  29.652,Ch  30.000
2,04/04/23 00:05:05,50,0.0,19.8,306.89884587036016,181.7998087125484,182.139005630078,176.4787480735221,180.66270203053358,170.96456872679042,176.75734866227714,170.13624295098094,173.79686815200938,172.84469603332542,174.08688356217635,162.64844747960737,171.67134780088443,168.24186738139278,159.66486371579845,168.59119918849606,170.05770276984944,163.72427097278074,168.14198957205627,165.20307287890907,159.9163096858686,166.61635262954616,160.8080498340127,172.82046529425168,164.6843966967911
3,04/04/23 00:05:23,50,45.0,90.0,306.9016207590533,179.29353846820698,179.97213616262144,180.03129239683904,172.82922704791528,180.44202212320994,178.44095651894753,174.1937864623806,177.208556824929,176.004123362117,179.82246758255403,168.29233268538096,170.25616884228808,164.7723751623651,171.39731310987563,178.18795092381183,162.3305550923052,174.416924122249,159.55699242232458,155.7818440977363,164.0731699168549,160.01333198514993,165.09808786967852,158.2000813268526,154.85228347700757
4,04/04/23 00:05:41,50,90.0,160.2,306.91070338402005,183.70868735120132,179.02243803136534,186.12058444962284,184.87552056320445,182.78496168616965,181.5376747896177,177.77778975125233,182.3133722196855,169.42261950540006,172.10035696189183,171.8008109853757,160.56781676919414,162.00323045071434,165.85277803988168,172.65195513437806,171.7747960003566,165.25924442561896,163.06503463364683,158.07714363712583,176.74892822160706,163.55954419757668,156.59576498766899,158.89261266549806,161.13509303143223
5,04/04/23 00:05:59,50,135.0,19.8,306.90640705222506,187.29393090678775,177.30369792940985,175.34830009859678,170.0608306586123,172.09710916342385,180.5999657979656,178.79016629125042,167.40274760887428,183.18419626404452,173.86125327872057,171.21803241965827,169.66796403587932,170.26131719538807,171.22742714162646,165.87475092043016,173.4134926579028,158.2500233808962,167.34331415215158,167.74292818181772,162.67674299568958,159.97610083339632,163.32996079045049,165.7691512274843,156.17817755005174
6,04/04/23 00:06:17,50,0.0,90.0,306.9294215555377,179.3493227493308,172.25791445371905,174.73849117369897,180.84567943977493,181.8587093996039,169.28391669620552,169.3012162833208,185.0982999744897,168.53348097631854,176.1447226249813,169.5741100916382,164.43252472911888,166.3035532878303,165.39944601414797,174.35224619028898,169.54378587819645,165.3783308242569,159.6268418828356,165.72224290054373,169.7447171239411,160.95630413795982,163.09148109879538,164.79911228847035,166.4953227675717
7,04/04/23 00:06:35,50,45.0,160.2,306.9141291739928,178.28785408741982,174.98975261280086,175.21062321946044,187.8021213490417,178.044182637283,170.42158758563357,172.56864138861317,163.61114335281408,166.4310740690966,169.6263495562148,173.87713635999015,173.24168422501157,161.9124877154817,159.12978054275618,165.2442489635797,175.7990396740865,164.1818775451665,168.2409223273755,162.88644827735885,159.4209176161015,160.52137390699642,163.6599256269891,169.5616407182372,151.84260434824685
8,04/04/23 00:06:53,50,90.0,19.8,306.90464620372126,188.11067087170426,177.04184772197706,183.0524869478951,172.65322951633996,180.84664672457455,178.4419570432541,172.6224889340147,173.36872479725028,179.0486394225372,173.50898224669766,166.18085247334128,172.48238063334722,166.54695976425901,160.77254677866455,157.85007107479979,163.30218253777988,152.8171301011986,164.23037110911957,164.6546025464508,163.51792521124773,163.93397130450978,170.9936470065433,171.59787949624274,157.41999755780938
9,04/04/23 00:07:11,50,135.0,90.0,306.94730993779893,183.7190618115054,184.29793407944413,179.7865132792567,174.4417038655531,185.8875922094454,178.10299183334538,171.39785069852448,176.73651767642463,176.8836798964251,172.1187632131281,170.47433856672134,165.61727184279974,164.03936553897324,168.81796507296085,162.66754356767558,160.61513638831423,165.69737035489092,163.2251754323407,165.96762277950575,172.21415221348363,160.0968407095974,173.8987220228985,158.9561956520174,161.76794754106348
10,04/04/23 00:07:29,50,0.0,160.2,306.9323542857789,177.97353697845548,181.16943513858124,175.93297745451244,178.21047008139453,175.61570745855067,178.54832125270394,183.93078880518792,175.63891172506627,176.48498625426058,172.98320244435266,172.22673489277668,168.1863569301424,178.3218344747974,170.31517359065072,158.7930362595227,158.38382940273928,165.25319277882596,169.09310005349553,161.96993659353996,160.66433448875662,169.20838518817175,158.87133942165627,164.1437482797058,168.14852905430195
11,04/04/23 00:07:47,50,45.0,19.8,306.9499896787385,182.54696993958038,170.1494037274456,180.66137645243475,174.70809579889567,172.5872280302979,194.75000108796763,176.64168697210752,170.63371560080847,176.01937552884152,168.14303384585148,173.71071171803126,164.97288472090148,173.80758589770215,164.00823877004157,165.90268925796576,174.27091301822693,169.40215806745678,167.2728775834286,160.29047218159553,172.37467338120044,157.96982886272696,158.92244553595563,166.25138299648796,159.50541841628564
12,04/04/23 00:08:05,50,90.0,90.0,306.9469117496383,178.37994764903019,181.44789074267518,179.44329342505011,170.33502330558792,172.77120309539967,179.20366257960183,169.17522503706948,173.569468339567,173.6792805097275,172.99350002786548,175.5594583296239,170.8184232354223,170.22239029781377,172.58565058089243,168.61521496556202,170.92538613399324,176.02877310955836,164.10959658834494,166.02408847553744,167.7140566599351,162.37137354445963,159.35558414123807,165.7041324619574,157.9210384796265
13,04/04/23 00:08:23,50,135.0,160.2,306.959885144512,177.13298026012833,176.66665240850674,182.5657235458615,177.19574824983584,171.90431673358722,180.7916311419261,178.83354745890568,170.90966783294633,168.01883543142003,174.12553352768512,165.1427663948772,174.67212323918147,176.4265671137341,159.8496808905479,175.6699025458778,166.14022741255778,171.18141069745755,170.47566934914872,158.917591226861,160.1275560180735,159.87166938878266,158.423373866961,162.86756440090744,168.86741437518256
14,04/04/23 00:08:41,50,0.0,19.8,306.9492366711568,181.11357836684928,175.64959179009801,174.65437110484976,171.98355278821467,176.03999759238337,180.3259497395286,185.29715668973446,170.86998670255892,173.3262680608573,179.33339809147256,163.53754398142794,165.40991938603705,169.85582593856154,168.2690201896956,169.36449083436167,168.26013187974866,164.64628007798407,159.71584167536747,166.292856874548,166.54406657386193,169.74735208296167,158.45596180731098,166.10670567439803,152.6636975069379
15,04/04/23 00:08:59,50,45.0,90.0,306.97237744805295,169.99800495136017,181.75322240146218,176.18696500687773,179.32367267565115,177.79190517916714,178.4735363442216,179.50934117305707,177.72546013801514,169.22207587795816,176.53467334855344,177.25713811022862,172.51942136093402,164.82320255931216,162.20497734974992,166.29499048712657,160.8934826772877,160.11873315267994,167.86147551371832,155.3993142404165,167.905439292348,163.15587570938092,167.24863836566576,166.28046844496504,148.57037639154873
16,04/04/23 00:09:17,50,90.0,160.2,306.9723954839226,171.5858368358876,184.4958583935412,176.51075479800937,173.00460917510983,178.11561912553765,174.2862536882945,167.39618486433488,175.90854690653887,178.12950292641108,183.1502513294888,173.17634388443767,167.99392051528622,177.3912637761054,165.64689763335502,172.18354086089195,179.39570763566732,179.1641815364412,168.39332359264253,169.7040302720375,166.79773667910396,167.97834434796985,169.05207767318467,167.99078617103171,162.41049824871942
17,04/04/23 00:09:35,50,135.0,19.8,306.97466783698263,176.58285682046406,183.18112984485862,170.33758929122573,184.53527083958272,180.05194984228382,178.84131448217872,171.75573279798985,169.84278996862656,171.70248582002782,167.73146969570692,166.9562096099731,165.86471291405286,171.65406207639657,168.32693999716406,156.16470487815124,166.9969221156755,165.77734315848048,163.06422199136335,166.10510796569068,155.02143173678186,154.57518825365798,158.5397588799969,163.76747456930119,156.88402334490587
