Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,DataQuality
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch  22.000, Ch  22.234, Ch  22.500, Ch  23.000, Ch  23.034, Ch  23.500, Ch  23.834, Ch  24.000, Ch  24.500, Ch  25.000, Ch  25.500, Ch  26.000, Ch  26.234, Ch  26.500, Ch  27.000, Ch  27.500, Ch  28.000, Ch  28.500, Ch  29.000, Ch  29.500, Ch  30.000, Ch  51.248, Ch  51.760, Ch  52.280, Ch  52.804, Ch  53.336, Ch  53.848, Ch  54.400, Ch  54.940, Ch  55.500, Ch  56.020, Ch  56.660, Ch  57.288, Ch  57.964, Ch  58.800,DataQuality
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
     1,04/04/23 00:04:24,41, 295.0000,  93.8900,1010.2000, 242.3800,0,1
     2,04/04/23 00:05:05,51,  0.00, 19.80,306.972,135.348,138.726,138.454,134.147,134.250,129.179,122.719,115.982,108.432, 99.431, 92.256, 87.467, 83.845, 80.170, 78.134, 81.138, 77.335, 79.283, 76.700, 74.544, 72.154,220.119,240.797,260.167,276.994,287.412,292.832,294.009,295.406,294.875,295.500,296.145,296.501,296.048,296.014,1
     3,04/04/23 00:05:22,51,  0.00, 90.00,306.968, 60.065, 62.067, 62.781, 59.349, 59.466, 58.135, 53.888, 48.974, 45.389, 40.293, 38.032, 35.366, 33.294, 31.899, 32.234, 37.694, 37.635, 39.157, 36.580, 34.751, 30.953,112.816,136.904,161.460,194.238,230.177,261.355,281.073,289.647,292.054,292.694,293.780,294.721,294.673,295.074,1
     4,04/04/23 00:05:40,51,  0.00,160.20,306.960,148.848,152.626,153.044,147.953,147.414,142.463,135.225,128.196,120.236,109.816,103.157, 95.483, 92.603, 88.726, 85.976, 89.514,165.837, 86.743, 83.425, 81.248, 78.266,223.661,243.232,261.853,278.431,288.067,292.672,293.946,295.259,294.873,295.575,296.309,296.897,295.789,295.773,1
     5,04/04/23 00:06:03,51, 45.00, 19.80,306.953,133.928,137.656,137.548,132.878,133.079,128.315,121.876,114.735,108.011, 99.216, 92.161, 86.003, 83.344, 79.551, 77.659, 81.230, 76.881, 80.050, 76.239, 74.544, 71.253,218.403,239.303,258.928,276.754,287.277,292.490,293.898,294.604,295.116,295.097,296.164,296.624,295.698,296.105,1
     6,04/04/23 00:06:21,51, 45.00,160.20,306.951,150.586,154.492,154.216,150.088,149.721,144.383,137.684,130.510,121.900,111.740,104.520, 97.050, 93.956, 90.032, 87.288, 90.434,132.335, 87.097, 84.293, 82.029, 79.289,223.886,243.927,262.567,279.053,288.442,292.154,294.028,295.167,294.922,294.730,295.607,295.494,295.438,296.201,1
     7,04/04/23 00:06:22,41, 294.9500,  94.1000,1010.2000, 242.4100,0,1
     8,04/04/23 00:06:44,51, 90.00, 19.80,306.948,135.626,138.484,139.252,135.194,134.795,130.296,123.104,116.060,109.241,100.232, 92.763, 87.246, 83.931, 80.151, 78.264, 81.888, 78.018, 79.673, 77.458, 74.680, 71.687,217.842,239.028,258.638,276.177,287.471,292.071,293.800,295.570,294.807,295.566,296.425,296.730,296.003,296.323,1
     9,04/04/23 00:07:02,51, 90.00,160.20,306.947,150.627,153.913,154.229,149.633,148.981,144.201,136.755,130.993,121.631,110.957,103.185, 96.424, 93.551, 89.799, 86.651, 89.832, 88.696, 87.542, 84.026, 81.749, 79.232,224.138,244.294,262.827,279.210,288.233,292.671,294.481,295.468,295.071,295.026,296.676,297.372,296.872,295.601,1
    10,04/04/23 00:07:02,41, 294.9600,  94.1600,1010.2000, 242.5300,0,1
    11,04/04/23 00:07:24,51,135.00, 19.80,306.942,137.597,140.962,141.785,136.413,136.283,131.440,124.589,118.247,110.953,101.225, 93.998, 88.660, 85.289, 81.608, 78.775, 82.782,109.590, 80.960, 78.452, 75.289, 72.931,217.592,238.267,257.876,276.247,286.866,291.442,293.572,294.650,294.829,294.585,295.928,296.426,295.690,295.994,1
    12,04/04/23 00:07:42,51,135.00,160.20,306.940,144.921,148.262,148.725,144.063,143.938,138.810,131.439,123.639,117.098,107.107, 99.900, 93.329, 90.245, 86.422, 84.149, 87.830, 83.163, 85.182, 82.284, 79.533, 76.716,223.650,244.037,262.096,278.478,288.080,292.378,293.821,294.595,295.227,295.458,296.143,296.569,296.385,296.055,1
    13,04/04/23 00:07:43,41, 294.9800,  94.2100,1010.2000, 242.4700,0,1
    14,04/04/23 00:09:01,41, 295.0100,  94.0500,1010.3000, 242.2000,0,1
    15,04/04/23 00:09:36,51,  0.00, 19.80,306.954,135.145,137.626,137.784,134.231,134.034,129.546,121.076,117.610,108.421, 99.614, 92.364, 86.315, 83.264, 79.889, 78.159, 81.421, 82.281, 79.238, 77.044, 74.723, 71.682,220.209,240.393,259.927,276.418,287.738,292.829,292.983,294.502,294.356,295.392,296.275,295.536,296.337,296.836,1
    16,04/04/23 00:09:54,51,  0.00, 90.00,306.961, 60.420, 62.112, 62.086, 59.982, 59.564, 58.724, 53.922, 50.772, 45.866, 41.548, 38.918, 34.387, 32.799, 30.795, 31.772, 37.281, 41.193, 39.012, 37.346, 35.929, 31.332,113.653,137.440,162.586,193.553,230.215,261.137,280.938,289.053,292.049,293.432,294.012,294.002,295.151,295.405,1
