Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
2,04/01/23 00:05:05,51,0.0,19.8,308.039,100.771,102.861,103.148,98.631,98.956,96.496,91.08,86.246,80.296,72.9,66.778,64.64,61.902,57.795,57.167,61.967,57.641,63.198,60.454,58.576,54.946
3,04/01/23 00:05:22,51,0.0,90.0,308.031,45.779,46.03,46.367,44.084,44.379,45.326,41.0,37.723,35.238,31.171,29.014,27.268,26.239,23.552,23.693,31.46,29.588,32.97,31.574,30.151,23.821
4,04/01/23 00:05:40,51,0.0,160.2,308.019,112.108,115.169,115.083,111.029,110.745,107.715,101.518,97.496,90.673,82.649,76.115,71.6,70.159,66.381,64.534,69.898,143.82,68.829,66.464,64.282,60.541
5,04/01/23 00:06:05,51,45.0,19.8,308.005,97.079,99.332,99.34,94.88,95.994,93.323,86.475,83.002,76.731,70.423,64.201,61.339,59.202,55.843,55.317,60.686,55.989,61.173,58.181,56.716,52.368
6,04/01/23 00:06:22,51,45.0,160.2,307.999,112.116,114.573,114.465,110.806,111.316,108.32,101.222,97.371,90.719,82.843,76.205,71.941,70.139,66.131,64.827,69.853,115.309,69.821,66.662,64.54,60.827
8,04/01/23 00:06:45,51,90.0,19.8,307.988,100.875,102.902,102.918,98.771,99.723,96.574,89.927,85.596,79.778,72.845,67.426,64.31,61.754,58.255,57.182,62.478,59.088,63.3,60.569,58.228,54.631
9,04/01/23 00:07:03,51,90.0,160.2,307.981,111.738,113.877,114.04,110.43,111.388,108.003,101.271,98.58,90.56,82.643,75.884,71.782,69.893,65.42,64.437,68.885,72.246,69.763,66.903,64.317,60.794
11,04/01/23 00:07:26,51,135.0,19.8,307.972,107.064,109.543,109.964,105.456,105.756,103.364,96.332,93.388,86.06,78.444,72.287,68.439,66.02,62.59,61.256,66.193,93.92,66.666,63.492,61.498,57.106
12,04/01/23 00:07:43,51,135.0,160.2,307.966,106.265,108.772,109.422,105.514,105.845,103.568,96.223,91.09,85.242,78.273,71.505,67.9,66.348,62.235,61.488,66.392,61.872,66.963,63.203,62.25,57.327
15,04/01/23 00:09:37,51,0.0,19.8,307.942,98.261,101.337,101.331,96.816,96.672,95.128,88.822,84.874,77.738,71.446,66.001,62.055,60.243,56.596,56.048,61.177,63.583,60.901,59.641,57.942,53.921
16,04/01/23 00:09:55,51,0.0,90.0,307.937,44.209,46.171,45.159,43.119,43.043,43.277,39.562,37.811,33.753,30.833,28.422,25.929,24.99,23.092,23.317,29.561,35.134,32.031,30.626,28.717,23.561
17,04/01/23 00:10:12,51,0.0,160.2,307.925,112.371,115.678,116.204,111.815,111.984,108.794,102.411,98.125,91.399,83.097,77.46,72.25,70.842,66.1,65.259,69.29,157.214,69.164,67.368,64.973,61.282
18,04/01/23 00:10:36,51,45.0,19.8,307.915,94.336,97.544,97.174,92.607,92.318,90.448,84.003,80.684,75.199,67.637,62.373,59.281,57.532,54.129,53.591,58.201,61.465,59.229,57.178,55.075,52.08
19,04/01/23 00:10:53,51,45.0,160.2,307.906,111.615,114.482,114.185,110.587,110.525,107.361,100.745,97.281,89.236,81.981,76.024,70.599,70.033,65.493,64.33,68.334,117.72,68.206,66.018,64.375,60.966
21,04/01/23 00:11:16,51,90.0,19.8,307.9,97.641,100.523,100.69,96.111,96.261,93.544,87.292,84.488,77.292,70.739,65.216,61.753,59.702,56.183,55.329,60.264,63.572,60.343,58.514,57.177,53.452
