Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
2,04/04/23 00:05:05,51,0.0,19.8,306.97082810965935,134.70387720704335,138.08187720704333,137.80987720704334,133.50287720704333,133.60587720704333,128.53487720704334,122.07487720704333,115.33787720704333,107.78787720704334,98.78687720704333,91.61187720704334,86.82287720704333,83.20087720704333,79.52587720704334,77.48987720704334,80.49387720704334,76.69087720704333,78.63887720704334,76.05587720704334,73.89987720704333,71.50987720704333
3,04/04/23 00:05:22,51,0.0,90.0,306.9477496368549,61.00716080819377,63.00916080819377,63.72316080819377,60.291160808193766,60.40816080819377,59.07716080819377,54.83016080819377,49.916160808193766,46.33116080819377,41.23516080819377,38.974160808193766,36.30816080819377,34.236160808193766,32.84116080819377,33.17616080819377,38.63616080819377,38.57716080819377,40.099160808193766,37.52216080819377,35.69316080819377,31.895160808193772
4,04/04/23 00:05:40,51,0.0,160.2,306.9695359495066,149.0112894180365,152.7892894180365,153.2072894180365,148.1162894180365,147.5772894180365,142.6262894180365,135.3882894180365,128.3592894180365,120.39928941803652,109.97928941803652,103.32028941803651,95.64628941803652,92.76628941803651,88.88928941803651,86.13928941803651,89.67728941803651,166.0002894180365,86.90628941803651,83.58828941803651,81.41128941803652,78.42928941803652
5,04/04/23 00:06:03,51,45.0,19.8,306.94707833670014,134.71708806863336,138.44508806863337,138.33708806863336,133.66708806863335,133.86808806863337,129.10408806863336,122.66508806863335,115.52408806863335,108.80008806863334,100.00508806863334,92.95008806863335,86.79208806863335,84.13308806863334,80.34008806863335,78.44808806863335,82.01908806863335,77.67008806863335,80.83908806863334,77.02808806863335,75.33308806863334,72.04208806863335
6,04/04/23 00:06:21,51,45.0,160.2,306.95446165821056,150.55096527420852,154.4569652742085,154.18096527420852,150.0529652742085,149.6859652742085,144.34796527420852,137.6489652742085,130.4749652742085,121.86496527420852,111.7049652742085,104.4849652742085,97.0149652742085,93.92096527420851,89.9969652742085,87.2529652742085,90.3989652742085,132.29996527420852,87.0619652742085,84.25796527420852,81.9939652742085,79.25396527420851
8,04/04/23 00:06:44,51,90.0,19.8,306.94868393860634,132.41775797505935,135.27575797505935,136.04375797505935,131.98575797505933,131.58675797505933,127.08775797505935,119.89575797505935,112.85175797505936,106.03275797505935,97.02375797505935,89.55475797505936,84.03775797505935,80.72275797505935,76.94275797505935,75.05575797505935,78.67975797505936,74.80975797505936,76.46475797505936,74.24975797505935,71.47175797505936,68.47875797505935
9,04/04/23 00:07:02,51,90.0,160.2,306.96238394984437,150.68973683219943,153.97573683219943,154.29173683219943,149.69573683219943,149.04373683219941,144.2637368321994,136.81773683219942,131.05573683219941,121.69373683219942,111.01973683219941,103.24773683219942,96.48673683219943,93.61373683219942,89.86173683219943,86.71373683219942,89.89473683219941,88.75873683219942,87.60473683219942,84.08873683219942,81.81173683219941,79.29473683219942
11,04/04/23 00:07:24,51,135.0,19.8,306.94074633014003,137.72407591031364,141.08907591031362,141.91207591031363,136.54007591031365,136.41007591031362,131.56707591031363,124.71607591031363,118.37407591031364,111.08007591031364,101.35207591031363,94.12507591031364,88.78707591031363,85.41607591031364,81.73507591031364,78.90207591031364,82.90907591031363,109.71707591031364,81.08707591031363,78.57907591031363,75.41607591031364,73.05807591031363
12,04/04/23 00:07:42,51,135.0,160.2,306.93984886409913,145.4061918743069,148.7471918743069,149.2101918743069,144.5481918743069,144.4231918743069,139.2951918743069,131.9241918743069,124.12419187430692,117.58319187430692,107.59219187430692,100.38519187430693,93.81419187430691,90.73019187430693,86.90719187430692,84.63419187430692,88.31519187430692,83.64819187430692,85.66719187430692,82.76919187430693,80.01819187430692,77.20119187430691
15,04/04/23 00:09:36,51,0.0,19.8,306.9697861539048,133.95754161262852,136.4385416126285,136.5965416126285,133.0435416126285,132.8465416126285,128.3585416126285,119.88854161262852,116.42254161262852,107.23354161262853,98.42654161262853,91.17654161262853,85.12754161262852,82.07654161262852,78.70154161262852,76.97154161262853,80.23354161262853,81.09354161262853,78.05054161262852,75.85654161262852,73.53554161262852,70.49454161262852
16,04/04/23 00:09:54,51,0.0,90.0,306.9544177775625,58.029060566668974,59.72106056666898,59.69506056666897,57.59106056666897,57.17306056666898,56.333060566668976,51.53106056666897,48.38106056666898,43.47506056666897,39.157060566668974,36.52706056666898,31.996060566668977,30.408060566668976,28.404060566668978,29.381060566668975,34.89006056666898,38.80206056666897,36.62106056666897,34.955060566668976,33.538060566668975,28.941060566668977
17,04/04/23 00:10:11,51,0.0,160.2,306.9721432285141,148.62221328978853,150.82821328978855,151.35521328978854,147.18221328978854,147.69821328978855,142.10921328978856,133.51321328978855,129.61421328978855,119.62621328978855,110.15721328978856,102.06521328978856,94.69621328978856,91.97821328978856,87.67221328978856,85.91621328978856,87.93821328978855,168.98021328978854,86.38921328978856,83.56421328978855,81.93421328978856,79.03221328978856
18,04/04/23 00:10:34,51,45.0,19.8,306.9700138427712,133.71478688693168,136.22078688693168,136.5567868869317,132.6577868869317,132.59878688693166,127.58278688693166,120.42578688693166,116.03678688693167,107.11278688693166,98.57378688693166,90.44278688693166,84.95478688693166,81.36578688693166,78.09278688693166,76.98078688693167,79.17478688693166,81.61278688693166,77.86678688693166,75.76178688693166,74.20178688693166,71.06578688693166
19,04/04/23 00:10:52,51,45.0,160.2,306.96897458037995,151.34048809536998,154.00548809537,154.20948809536998,150.30448809536998,150.06148809536998,145.09448809537,136.43848809537,132.37648809536998,121.43348809536998,112.13748809536999,103.15448809536998,96.54848809536999,93.17748809536998,89.69048809536999,87.49348809536998,89.15048809537,139.77148809537,87.18148809536999,84.56148809536998,82.50648809536999,79.55748809536999
