Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,DataQuality
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch  22.000, Ch  22.234, Ch  22.500, Ch  23.000, Ch  23.034, Ch  23.500, Ch  23.834, Ch  24.000, Ch  24.500, Ch  25.000, Ch  25.500, Ch  26.000, Ch  26.234, Ch  26.500, Ch  27.000, Ch  27.500, Ch  28.000, Ch  28.500, Ch  29.000, Ch  29.500, Ch  30.000, Ch  51.248, Ch  51.760, Ch  52.280, Ch  52.804, Ch  53.336, Ch  53.848, Ch  54.400, Ch  54.940, Ch  55.500, Ch  56.020, Ch  56.660, Ch  57.288, Ch  57.964, Ch  58.800,DataQuality
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
     1,04/06/23 00:04:25,41, 298.0900,  70.1100,1009.4000, 241.6900,0,1
     2,04/06/23 00:05:06,51,  0.00, 19.80,308.174,158.144,162.116,162.247,155.794,155.863,148.244,139.276,131.641,123.300,112.261,103.166, 96.839, 94.001, 89.475, 86.933, 89.027, 84.100, 85.818, 83.776, 81.688, 78.394,222.585,241.322,259.899,276.615,287.309,292.185,293.967,295.273,295.357,295.469,296.651,297.499,297.248,297.001,1
     3,04/06/23 00:05:24,51,  0.00, 90.00,308.191, 68.971, 71.566, 71.500, 68.561, 68.137, 65.826, 59.101, 55.088, 51.029, 44.729, 41.405, 37.443, 35.501, 33.669, 34.536, 39.741, 37.260, 41.395, 38.705, 36.843, 32.630,113.486,136.991,161.447,193.594,228.833,259.994,280.645,289.022,291.742,293.630,294.105,294.909,295.354,295.036,1
     4,04/06/23 00:05:41,51,  0.00,160.20,308.202,156.472,160.183,161.046,153.898,154.267,147.378,137.216,130.426,121.457,110.360,101.883, 95.188, 91.944, 87.923, 85.514, 87.787,155.779, 85.173, 82.501, 80.338, 76.858,222.505,241.946,260.506,277.178,287.608,292.434,294.210,295.279,295.952,295.606,296.365,297.483,297.276,296.732,1
     5,04/06/23 00:06:06,51, 45.00, 19.80,308.216,155.910,159.755,160.208,153.394,153.888,146.509,136.760,129.779,121.064,110.814,101.229, 95.404, 91.691, 87.300, 84.994, 87.473, 81.820, 85.469, 82.479, 80.371, 76.829,219.817,239.529,258.918,275.994,287.536,291.815,293.289,295.086,295.288,295.225,295.708,297.120,297.131,295.966,1
     6,04/06/23 00:06:24,51, 45.00,160.20,308.229,156.417,160.077,160.625,154.658,154.548,147.363,137.907,131.468,122.084,110.994,102.293, 95.393, 92.740, 87.574, 85.073, 88.453,131.191, 85.431, 82.961, 80.749, 77.234,222.617,241.787,260.770,277.540,287.601,292.560,293.688,294.964,295.461,295.089,295.458,296.763,296.144,296.430,1
     7,04/06/23 00:06:24,41, 298.0600,  70.3300,1009.5000, 239.6400,0,1
     8,04/06/23 00:06:46,51, 90.00, 19.80,308.236,156.490,159.946,160.294,153.348,154.013,146.402,136.537,129.493,120.836,110.647,101.890, 94.579, 91.768, 87.265, 85.274, 87.362, 82.849, 85.070, 81.974, 80.263, 76.449,218.772,239.154,258.220,275.839,286.797,292.039,294.175,295.465,295.716,295.637,296.727,297.450,297.589,296.560,1
     9,04/06/23 00:07:04,51, 90.00,160.20,308.246,157.912,161.266,161.861,156.340,155.774,148.872,139.518,133.974,124.126,113.348,104.223, 96.824, 93.633, 90.481, 87.258, 90.234, 90.523, 86.782, 83.909, 81.517, 78.542,223.130,242.946,261.696,278.002,288.286,292.817,293.872,295.016,296.211,295.603,296.075,297.264,296.883,296.758,1
    10,04/06/23 00:07:04,41, 298.0400,  70.3300,1009.4000, 239.3000,0,1
    11,04/06/23 00:07:27,51,135.00, 19.80,308.260,161.275,165.189,165.237,159.105,158.990,152.191,142.522,136.365,126.862,116.989,108.338,101.808, 98.793, 94.942, 92.787, 94.775,122.311, 93.386, 90.272, 88.608, 85.265,225.641,243.709,261.022,277.176,287.627,292.636,294.255,295.068,295.711,295.988,297.176,297.324,296.932,295.969,1
    12,04/06/23 00:07:45,51,135.00,160.20,308.269,161.668,165.624,165.895,159.929,159.809,153.092,143.105,136.185,127.333,116.236,107.639,100.496, 96.885, 93.168, 90.580, 92.464, 87.207, 90.114, 86.799, 84.419, 80.954,225.085,243.810,262.431,278.103,287.807,292.793,294.209,294.877,296.140,295.462,296.179,297.420,297.452,296.348,1
    13,04/06/23 00:07:45,41, 298.1000,  70.1100,1009.4000, 239.8200,0,1
    14,04/06/23 00:09:03,41, 298.1000,  70.2200,1009.4000, 239.3500,0,1
    15,04/06/23 00:09:39,51,  0.00, 19.80,308.312,158.729,161.735,162.539,156.025,156.041,149.600,139.999,134.282,123.576,112.527,103.601, 96.959, 92.711, 89.601, 86.358, 88.987, 89.073, 86.003, 83.877, 81.886, 78.633,222.952,242.501,259.883,276.062,286.879,291.442,294.244,295.796,295.669,296.014,296.626,296.768,296.843,297.574,1
    16,04/06/23 00:09:56,51,  0.00, 90.00,308.323, 69.842, 71.469, 71.810, 67.599, 67.514, 65.745, 59.931, 56.178, 50.607, 44.634, 40.981, 37.756, 34.984, 33.862, 33.788, 39.400, 42.858, 40.079, 38.602, 37.425, 32.513,114.131,137.991,161.861,192.676,228.617,259.601,281.074,290.092,292.200,293.917,295.527,295.029,294.850,295.927,1
    17,04/06/23 00:10:13,51,  0.00,160.20,308.330,157.701,160.882,161.287,155.214,154.537,148.493,138.976,132.986,122.731,111.464,102.669, 95.504, 91.667, 88.069, 85.093, 88.499,169.763, 85.267, 83.129, 81.243, 78.049,223.522,243.293,260.746,277.597,288.073,292.037,294.639,295.779,295.889,296.703,297.735,297.313,297.309,297.295,1
    18,04/06/23 00:10:36,51, 45.00, 19.80,308.341,156.761,159.959,160.500,154.043,154.219,147.471,138.195,132.677,121.882,110.449,101.725, 95.218, 91.332, 87.775, 84.912, 87.268, 87.554, 84.572, 83.081, 80.602, 77.908,221.116,241.659,259.138,275.380,286.426,292.081,294.116,295.652,296.032,296.507,297.336,296.567,297.231,297.197,1
    19,04/06/23 00:10:54,51, 45.00,160.20,308.345,158.598,162.000,162.667,156.305,156.164,149.298,140.692,134.685,124.240,112.252,103.565, 96.385, 93.448, 89.541, 86.461, 89.069,133.062, 85.864, 83.953, 81.872, 79.482,224.377,243.860,261.392,277.247,287.710,291.974,294.731,295.785,295.686,296.613,296.984,296.575,297.166,297.122,1
    20,04/06/23 00:10:55,41, 298.0100,  70.8100,1009.6000, 239.4100,0,1
    21,04/06/23 00:11:17,51, 90.00, 19.80,308.348,155.602,158.766,159.373,153.017,152.751,146.733,136.864,131.520,120.334,108.524,100.193, 93.490, 89.587, 86.159, 83.629, 86.125, 86.622, 83.278, 81.056, 78.466, 76.493,220.003,240.124,258.550,275.497,286.713,291.272,294.571,295.958,295.807,297.174,296.682,296.740,297.542,297.066,1
    22,04/06/23 00:11:35,51, 90.00,160.20,308.353,159.618,162.263,163.050,157.222,156.934,150.761,141.760,139.038,125.450,114.038,105.290, 98.196, 94.821, 90.351, 87.809, 91.033, 95.723, 86.874, 84.991, 83.095, 80.031,225.243,244.913,262.059,277.500,287.515,291.953,294.687,296.190,295.761,296.710,297.363,297.224,297.132,297.626,1
    23,04/06/23 00:11:36,41, 298.0400,  70.4900,1009.5000, 239.3700,0,1
    24,04/06/23 00:11:58,51,135.00, 19.80,308.365,157.881,161.357,161.347,155.092,154.819,148.868,139.055,135.057,122.506,111.231,102.809, 95.624, 91.207, 87.767, 85.593, 88.284,123.349, 85.149, 82.838, 81.715, 78.586,221.234,241.602,259.564,276.155,287.672,292.451,294.713,295.742,296.086,297.114,297.053,296.863,297.212,297.155,1
