Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
2,04/04/23 00:05:05,51,0.0,19.8,306.972,135.348,138.726,138.454,134.147,134.25,129.179,122.719,115.982,108.432,99.431,92.256,87.467,83.845,80.17,78.134,81.138,77.335,79.283,76.7,74.544,72.154
3,04/04/23 00:05:22,51,0.0,90.0,306.968,60.065,62.067,62.781,59.349,59.466,58.135,53.888,48.974,45.389,40.293,38.032,35.366,33.294,31.899,32.234,37.694,37.635,39.157,36.58,34.751,30.953
4,04/04/23 00:05:40,51,0.0,160.2,306.96,148.848,152.626,153.044,147.953,147.414,142.463,135.225,128.196,120.236,109.816,103.157,95.483,92.603,88.726,85.976,89.514,165.837,86.743,83.425,81.248,78.266
5,04/04/23 00:06:03,51,45.0,19.8,306.953,133.928,137.656,137.548,132.878,133.079,128.315,121.876,114.735,108.011,99.216,92.161,86.003,83.344,79.551,77.659,81.23,76.881,80.05,76.239,74.544,71.253
6,04/04/23 00:06:21,51,45.0,160.2,306.951,150.586,154.492,154.216,150.088,149.721,144.383,137.684,130.51,121.9,111.74,104.52,97.05,93.956,90.032,87.288,90.434,132.335,87.097,84.293,82.029,79.289
8,04/04/23 00:06:44,51,90.0,19.8,306.948,135.626,138.484,139.252,135.194,134.795,130.296,123.104,116.06,109.241,100.232,92.763,87.246,83.931,80.151,78.264,81.888,78.018,79.673,77.458,74.68,71.687
9,04/04/23 00:07:02,51,90.0,160.2,306.947,150.627,153.913,154.229,149.633,148.981,144.201,136.755,130.993,121.631,110.957,103.185,96.424,93.551,89.799,86.651,89.832,88.696,87.542,84.026,81.749,79.232
11,04/04/23 00:07:24,51,135.0,19.8,306.942,137.597,140.962,141.785,136.413,136.283,131.44,124.589,118.247,110.953,101.225,93.998,88.66,85.289,81.608,78.775,82.782,109.59,80.96,78.452,75.289,72.931
12,04/04/23 00:07:42,51,135.0,160.2,306.94,144.921,148.262,148.725,144.063,143.938,138.81,131.439,123.639,117.098,107.107,99.9,93.329,90.245,86.422,84.149,87.83,83.163,85.182,82.284,79.533,76.716
15,04/04/23 00:09:36,51,0.0,19.8,306.954,135.145,137.626,137.784,134.231,134.034,129.546,121.076,117.61,108.421,99.614,92.364,86.315,83.264,79.889,78.159,81.421,82.281,79.238,77.044,74.723,71.682
16,04/04/23 00:09:54,51,0.0,90.0,306.961,60.42,62.112,62.086,59.982,59.564,58.724,53.922,50.772,45.866,41.548,38.918,34.387,32.799,30.795,31.772,37.281,41.193,39.012,37.346,35.929,31.332
17,04/04/23 00:10:11,51,0.0,160.2,306.964,147.373,149.579,150.106,145.933,146.449,140.86,132.264,128.365,118.377,108.908,100.816,93.447,90.729,86.423,84.667,86.689,167.731,85.14,82.315,80.685,77.783
18,04/04/23 00:10:34,51,45.0,19.8,306.972,134.262,136.768,137.104,133.205,133.146,128.13,120.973,116.584,107.66,99.121,90.99,85.502,81.913,78.64,77.528,79.722,82.16,78.414,76.309,74.749,71.613
19,04/04/23 00:10:52,51,45.0,160.2,306.979,150.998,153.663,153.867,149.962,149.719,144.752,136.096,132.034,121.091,111.795,102.812,96.206,92.835,89.348,87.151,88.808,139.429,86.839,84.219,82.164,79.215
21,04/04/23 00:11:15,51,90.0,19.8,306.99,134.687,137.978,138.449,134.129,134.556,129.814,121.753,118.419,108.786,99.76,91.729,85.949,82.841,79.308,78.007,80.74,82.765,79.81,76.833,75.103,71.452
22,04/04/23 00:11:33,51,90.0,160.2,306.992,149.848,152.913,152.588,149.105,148.787,142.787,134.891,132.917,120.6,110.34,102.491,96.075,92.552,88.352,86.222,88.534,92.295,86.117,83.95,81.685,78.402
24,04/04/23 00:11:56,51,135.0,19.8,306.999,137.64,140.508,140.6,136.58,136.692,131.978,124.084,121.079,110.197,101.593,93.5,88.031,84.577,80.607,78.845,81.335,117.885,80.348,77.895,75.238,72.576
25,04/04/23 00:12:14,51,135.0,160.2,307.007,144.088,146.784,146.818,143.525,143.297,137.94,129.613,125.71,115.868,106.725,98.859,92.403,89.149,84.471,83.064,85.627,86.879,83.626,81.436,79.574,76.541
28,04/04/23 00:14:07,51,0.0,19.8,307.03,135.412,138.364,138.343,133.502,134.087,129.667,122.411,117.5,109.267,99.63,92.143,86.583,83.453,79.887,78.632,80.967,82.426,79.399,77.404,74.883,71.839
29,04/04/23 00:14:24,51,0.0,90.0,307.034,59.828,61.216,61.995,59.127,59.707,59.295,53.301,51.125,45.879,40.932,37.318,34.608,32.996,30.865,31.919,37.344,41.262,39.447,37.645,35.351,30.901
30,04/04/23 00:14:41,51,0.0,160.2,307.035,144.854,148.606,148.252,144.338,144.213,139.74,131.328,126.488,117.008,106.633,98.864,92.591,89.799,85.672,84.317,86.764,164.712,84.85,82.116,80.003,76.675
31,04/04/23 00:15:05,51,45.0,19.8,307.043,133.476,136.585,136.619,132.491,132.67,128.397,121.26,116.236,107.946,98.773,91.519,85.484,82.977,79.468,77.706,80.304,82.173,78.697,76.655,75.161,71.276
32,04/04/23 00:15:23,51,45.0,160.2,307.048,149.12,151.957,152.422,148.18,147.55,142.573,135.143,130.756,120.432,109.687,101.423,95.281,92.205,88.377,86.583,89.315,137.143,85.81,83.479,81.464,78.697
34,04/04/23 00:15:46,51,90.0,19.8,307.05,132.559,136.494,136.069,131.957,131.746,128.118,120.859,115.935,107.344,98.204,89.778,84.666,81.919,78.221,77.138,80.034,82.222,78.104,76.131,74.499,70.542
35,04/04/23 00:16:04,51,90.0,160.2,307.048,148.025,150.929,151.165,146.704,147.096,142.165,134.075,131.022,119.365,108.657,100.822,94.216,91.248,87.322,85.408,87.958,91.201,85.205,83.093,81.293,77.922
37,04/04/23 00:16:27,51,135.0,19.8,307.047,136.075,139.529,139.037,134.962,135.803,130.876,122.767,119.221,109.759,99.88,92.072,86.381,83.542,79.49,78.627,80.647,115.677,78.921,77.213,75.846,72.137
