Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
2,04/04/23 00:05:05,51,0.0,19.8,306.9676769881419,135.70724454526385,139.08524454526383,138.81324454526384,134.50624454526383,134.60924454526383,129.53824454526384,123.07824454526384,116.34124454526385,108.79124454526385,99.79024454526385,92.61524454526385,87.82624454526385,84.20424454526385,80.52924454526385,78.49324454526385,81.49724454526385,77.69424454526384,79.64224454526385,77.05924454526385,74.90324454526385,72.51324454526384
3,04/04/23 00:05:22,51,0.0,90.0,306.9703173094203,62.75529524090483,64.75729524090482,65.47129524090482,62.03929524090483,62.15629524090483,60.82529524090483,56.57829524090483,51.66429524090483,48.079295240904834,42.98329524090483,40.72229524090483,38.05629524090483,35.98429524090483,34.58929524090483,34.92429524090483,40.384295240904834,40.32529524090483,41.84729524090483,39.27029524090483,37.44129524090483,33.64329524090483
4,04/04/23 00:05:40,51,0.0,160.2,306.950726269943,149.5674779502536,153.34547795025358,153.7634779502536,148.67247795025358,148.13347795025356,143.18247795025357,135.94447795025357,128.91547795025357,120.95547795025358,110.53547795025358,103.87647795025357,96.20247795025358,93.32247795025357,89.44547795025358,86.69547795025358,90.23347795025357,166.55647795025357,87.46247795025357,84.14447795025357,81.96747795025358,78.98547795025358
5,04/04/23 00:06:03,51,45.0,19.8,306.96588433622503,132.93073220842308,136.6587322084231,136.55073220842309,131.88073220842307,132.0817322084231,127.3177322084231,120.8787322084231,113.7377322084231,107.0137322084231,98.21873220842309,91.1637322084231,85.0057322084231,82.34673220842309,78.5537322084231,76.6617322084231,80.2327322084231,75.8837322084231,79.0527322084231,75.2417322084231,73.5467322084231,70.2557322084231
6,04/04/23 00:06:21,51,45.0,160.2,306.94465725283186,148.68363125922411,152.5896312592241,152.3136312592241,148.1856312592241,147.8186312592241,142.4806312592241,135.7816312592241,128.6076312592241,119.9976312592241,109.83763125922408,102.61763125922408,95.14763125922408,92.05363125922409,88.12963125922408,85.38563125922408,88.53163125922408,130.4326312592241,85.19463125922408,82.3906312592241,80.12663125922408,77.38663125922409
8,04/04/23 00:06:44,51,90.0,19.8,306.95928847487545,134.94235635950773,137.80035635950773,138.56835635950773,134.5103563595077,134.1113563595077,129.61235635950771,122.42035635950772,115.37635635950772,108.55735635950772,99.54835635950772,92.07935635950773,86.56235635950772,83.24735635950772,79.46735635950772,77.58035635950772,81.20435635950773,77.33435635950772,78.98935635950772,76.77435635950772,73.99635635950773,71.00335635950772
9,04/04/23 00:07:02,51,90.0,160.2,306.94466393039016,148.61314527810973,151.89914527810973,152.21514527810973,147.61914527810973,146.9671452781097,142.1871452781097,134.7411452781097,128.9791452781097,119.61714527810972,108.94314527810971,101.17114527810972,94.41014527810972,91.53714527810972,87.78514527810972,84.63714527810971,87.81814527810971,86.68214527810972,85.52814527810972,82.01214527810971,79.73514527810971,77.21814527810972
11,04/04/23 00:07:24,51,135.0,19.8,306.94401999010756,137.69265063956937,141.05765063956935,141.88065063956935,136.50865063956937,136.37865063956934,131.53565063956935,124.68465063956937,118.34265063956937,111.04865063956937,101.32065063956937,94.09365063956938,88.75565063956937,85.38465063956937,81.70365063956937,78.87065063956938,82.87765063956937,109.68565063956937,81.05565063956936,78.54765063956937,75.38465063956937,73.02665063956937
12,04/04/23 00:07:42,51,135.0,160.2,306.93505035449107,143.79260764027902,147.13360764027902,147.59660764027902,142.934607640279,142.809607640279,137.68160764027903,130.31060764027902,122.51060764027902,115.96960764027902,105.97860764027902,98.77160764027903,92.20060764027902,89.11660764027903,85.29360764027902,83.02060764027902,86.70160764027902,82.03460764027902,84.05360764027903,81.15560764027903,78.40460764027902,75.58760764027902
15,04/04/23 00:09:36,51,0.0,19.8,306.9438400456883,132.1569244134205,134.6379244134205,134.7959244134205,131.2429244134205,131.0459244134205,126.5579244134205,118.0879244134205,114.6219244134205,105.43292441342051,96.6259244134205,89.3759244134205,83.3269244134205,80.2759244134205,76.9009244134205,75.17092441342051,78.43292441342051,79.29292441342051,76.2499244134205,74.0559244134205,71.7349244134205,68.6939244134205
16,04/04/23 00:09:54,51,0.0,90.0,306.94355239612395,62.93029157674981,64.6222915767498,64.5962915767498,62.49229157674981,62.07429157674981,61.234291576749804,56.432291576749805,53.282291576749806,48.37629157674981,44.05829157674981,41.42829157674981,36.89729157674981,35.30929157674981,33.30529157674981,34.282291576749806,39.791291576749806,43.703291576749805,41.52229157674981,39.856291576749804,38.43929157674981,33.84229157674981
17,04/04/23 00:10:11,51,0.0,160.2,306.9534467584141,146.3776549531419,148.58365495314192,149.1106549531419,144.9376549531419,145.45365495314192,139.86465495314192,131.26865495314192,127.36965495314193,117.38165495314192,107.91265495314192,99.82065495314193,92.45165495314193,89.73365495314192,85.42765495314192,83.67165495314192,85.69365495314192,166.7356549531419,84.14465495314192,81.31965495314192,79.68965495314193,76.78765495314192
18,04/04/23 00:10:34,51,45.0,19.8,306.9687609114678,131.72572639004937,134.23172639004937,134.5677263900494,130.6687263900494,130.60972639004936,125.59372639004937,118.43672639004937,114.04772639004938,105.12372639004937,96.58472639004937,88.45372639004937,82.96572639004937,79.37672639004937,76.10372639004937,74.99172639004938,77.18572639004937,79.62372639004937,75.87772639004938,73.77272639004937,72.21272639004937,69.07672639004937
