Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.348,Ch  22.696,Ch  23.043,Ch  23.391,Ch  23.739,Ch  24.087,Ch  24.435,Ch  24.783,Ch  25.130,Ch  25.478,Ch  25.826,Ch  26.174,Ch  26.522,Ch  26.870,Ch  27.217,Ch  27.565,Ch  27.913,Ch  28.261,Ch  28.609,Ch  28.957,Ch  29.304,Ch  29.652,Ch  30.000
2,04/04/23 00:05:05,50,0.0,19.8,306.87640581192613,182.3812169353138,182.7204138528434,177.0601562962875,181.24411025329897,171.5459769495558,177.33875688504253,170.71765117374633,174.37827637477477,173.4261042560908,174.66829178494174,163.22985570237276,172.25275602364982,168.82327560415817,160.24627193856384,169.17260741126145,170.63911099261483,164.30567919554613,168.72339779482166,165.78448110167446,160.497717908634,167.19776085231155,161.3894580567781,173.40187351701707,165.2658049195565
3,04/04/23 00:05:23,50,45.0,90.0,306.9031327755748,179.54815016317286,180.22674785758733,180.28590409180492,173.08383874288117,180.69663381817583,178.69556821391342,174.44839815734647,177.46316851989488,176.2587350570829,180.0770792775199,168.54694438034684,170.51078053725396,165.026986857331,171.6519248048415,178.4425626187777,162.58516678727108,174.67153581721487,159.81160411729047,156.03645579270218,164.3277816118208,160.26794368011582,165.3526995646444,158.45469302181849,155.10689517197346
4,04/04/23 00:05:41,50,90.0,160.2,306.8948364549777,182.97872333297508,178.2924740131391,185.3906204313966,184.1455565449782,182.0549976679434,180.80771077139147,177.0478257330261,181.58340820145926,168.69265548717382,171.3703929436656,171.07084696714946,159.8378527509679,161.2732664324881,165.12281402165544,171.92199111615182,171.04483198213035,164.52928040739272,162.3350706154206,157.3471796188996,176.01896420338082,162.82958017935044,155.86580096944274,158.16264864727182,160.405129013206
5,04/04/23 00:05:59,50,135.0,19.8,306.905677256262,187.3372841298664,177.3470511524885,175.39165332167542,170.10418388169094,172.1404623865025,180.64331902104425,178.83351951432905,167.4461008319529,183.22754948712313,173.9046065017992,171.2613856427369,169.71131725895796,170.3046704184667,171.2707803647051,165.9181041435088,173.45684588098143,158.29337660397485,167.3863989583137,167.78628140489636,162.72009621876822,160.01945405647496,163.37331401352913,165.81250445056293,156.22153077313038
6,04/04/23 00:06:17,50,0.0,90.0,306.90744251800305,179.81212341263466,172.7207151170229,175.20129183700283,181.30848010307878,182.32151006290775,169.74671735950938,169.76401694662465,185.56110063779354,168.9962816396224,176.60752328828517,170.03691075494206,164.89532539242273,166.76635395113416,165.86224667745182,174.81504685359283,170.0065865415003,165.84113148756074,160.08964254613946,166.1850435638476,170.20751778724494,161.41910480126367,163.55428176209924,165.2619129517742,166.95812343087556
7,04/04/23 00:06:35,50,45.0,160.2,306.92850452311114,179.52601813174059,176.22791665712163,176.4487872637812,189.04028539336247,179.28234668160377,171.65975162995434,173.80680543293394,164.84930739713485,167.66923811341738,170.86451360053556,175.11530040431091,174.47984826933234,163.15065175980246,160.36794458707695,166.48241300790048,177.03720371840726,165.42004158948725,169.47908637169627,164.12461232167962,160.65908166042226,161.75953795131718,164.89808967130986,170.79980476255795,153.08076839256762
8,04/04/23 00:06:53,50,90.0,19.8,306.93454907187856,187.9425180159088,176.8736948661816,182.88433409209964,172.4850766605445,180.6784938687791,178.27380418745864,172.45433607821926,173.20057194145483,178.88048656674175,173.3408293909022,166.01269961754582,172.31422777755176,166.37880690846356,160.6043939228691,157.68191821900433,163.13402968198443,152.64897724540313,164.062218251929,164.48644969065535,163.34977235545227,163.76581844871433,163.23142759269356,163.835660082393,157.25184470201393
9,04/04/23 00:07:11,50,135.0,90.0,306.9283585705495,183.97804672217964,184.55691899011836,180.04549818993092,174.70068877622734,186.14657712011962,178.36197674401961,171.6568356091987,176.99550258709885,177.14266480709932,172.37774812380232,170.73332347739557,165.87625675347397,164.29835044964747,169.07694998363507,162.9265284783498,160.87412129898846,165.95635526556515,163.48416034301493,166.22660769017997,172.47313712415786,160.35582562027162,174.1565042107522,159.2139778398711,162.0269324517377
10,04/04/23 00:07:29,50,0.0,160.2,306.9443384975276,178.03713935413117,181.23303751425692,175.99657983018813,178.27407245707022,175.67930983422636,178.61192362837963,183.9943911808636,175.70251410074195,176.54858862993626,173.04680482002834,172.29033726845236,168.2499593058181,178.3854368504731,170.3787759663264,158.85663863519838,158.44743177841497,165.31679515450165,169.15670242917122,162.03353896921564,160.7279368644323,169.27198756384743,158.93494179733196,164.20735065465877,168.21213142997763
11,04/04/23 00:07:47,50,45.0,19.8,306.95965126829884,183.33601758612295,170.93845137398816,181.45042409897732,175.49714344543824,173.37627567684046,195.5390487345102,177.4307346186501,171.42276324735104,176.8084231753841,168.93208149239405,174.49975936457383,165.76193236744405,174.59663354424472,164.79728641658414,166.69173690450833,175.0599606647695,170.19120571399935,168.06192522997117,161.0795198281381,173.163721027743,158.75887650926953,159.70736302796666,167.036300488499,160.2944660628282
12,04/04/23 00:08:05,50,90.0,90.0,306.95198081817034,178.18650621472918,181.25444930837418,179.2498519907491,170.14158187128692,172.57776166109866,179.01022114530082,168.98178360276847,173.376026905266,173.4858390754265,172.80005859356447,175.3660168953229,170.6249818011213,170.02894886351277,172.39220914659143,168.421773531261,170.73194469969224,175.83533167525735,163.91615515404393,165.83064704123643,167.5206152256341,162.17793211015862,159.1270224814503,165.47557080216964,157.7275970453255
13,04/04/23 00:08:23,50,135.0,160.2,306.95887699751006,177.02324067759258,176.55691282597098,182.45598396332574,177.0860086673001,171.79457715105147,180.68189155939035,178.72380787636993,170.79992825041057,167.90909584888428,174.01579394514937,165.03302681234146,174.56238365664572,176.31682753119836,159.73994130801213,175.56016296334204,166.03048783002203,171.0716711149218,170.36592976661296,158.80785164432524,160.01781643553775,159.7619298062469,158.31363428442523,162.7578248183717,168.7576747926468
14,04/04/23 00:08:41,50,0.0,19.8,306.96141984552776,181.34730717454624,175.88332059779498,174.88809991254672,172.21728159591163,176.27372640008033,180.55967854722556,185.53088549743143,171.10371551025588,173.55999686855426,179.56712689916952,163.7712727891249,165.643648193734,170.0895547462585,168.50274899739256,169.59821964205864,168.49386068744562,164.88000888568104,159.94957048306443,166.52658568224496,166.7777953815589,169.98108089065863,158.6896906149661,166.34043448205315,152.89742631463486
15,04/04/23 00:08:59,50,45.0,90.0,306.9767147825745,170.54805521617868,182.3032726662807,176.73701527169624,179.87372294046966,178.34195544398565,179.0235866090401,180.05939143787558,178.27551040283365,169.77212614277667,177.08472361337195,177.80718837504713,173.06947162575253,165.37325282413067,162.75502761456843,166.84504075194508,161.4435329421062,160.66878341749845,168.41152577853683,155.949364505235,168.45548955716652,163.70592597419943,167.79866952978804,166.83049960908733,149.12042665636724
16,04/04/23 00:09:17,50,90.0,160.2,306.98506681793276,172.05186925501755,184.96189081267116,176.97678721713933,173.4706415942398,178.5816515446676,174.75228610742445,167.86221728346484,176.37457932566883,178.59553534554104,183.61628374861877,173.64237630356763,168.45995293441618,177.85729619523536,166.11293005248498,172.6495732800219,179.86174005479728,179.63021395557115,168.8593560117725,170.17006269116746,167.26376909823392,168.4443767670998,169.51811009231463,168.45681859016167,162.87653066784938
17,04/04/23 00:09:35,50,135.0,19.8,306.96773046134564,177.63177702409092,184.23005004848548,171.3865094948526,185.5841910432096,181.10087004591068,179.89023468580558,172.8046530016167,170.8917101722534,172.75140602365465,168.78038989933378,168.00512981359995,166.91363311767972,172.70298228002343,169.37586020079092,157.2136250817781,168.04584231930235,166.82626336210734,164.1128737780737,167.15402816931754,156.07035194040873,155.62410845728485,159.32861363633103,164.55632932563532,157.93294354853273
18,04/04/23 00:09:53,50,0.0,90.0,306.9665602176684,173.93502574349768,173.9335285116653,178.74065229571008,172.47421923131472,175.5859299349941,170.7872291855254,180.1163457867551,177.41022420059693,167.9151736220768,175.53469757225145,178.05928904886935,168.89881215409267,163.37816796484185,163.3927666926631,168.0033410922344,166.50267705732472,165.15578432647365,165.84723776072823,164.6271561036957,158.84175633561068,162.94312832669002,156.57653391443128,159.03315616097683,153.89301725951623
19,04/04/23 00:10:11,50,45.0,160.2,306.9874013331661,181.38531539440623,177.39845163478248,179.38022465754673,175.5950754982276,183.60348824765123,174.2821596107733,171.05834009898817,175.2636198140738,171.25062778403446,172.9047018035999,171.69679972898112,165.07264972802867,168.4276027323162,166.58695318419382,171.49449165738645,170.39943359005377,165.780409817619,158.7759021538512,169.07535973811397,162.05474642323756,166.87092836172096,163.91028694814452,161.4172123809878,163.35586096792665
20,04/04/23 00:10:29,50,90.0,19.8,306.9998913237578,176.2943922771564,181.62126459438895,179.12094950319215,182.29340308943688,176.03296761900745,174.0598688286604,177.8362184911458,178.81186672721813,175.94264818701012,183.95744036432907,178.0353464011685,168.5010487367222,166.02163877914302,174.56162887474773,161.26766838238498,170.19608055257646,167.91189298034084,170.6720390551448,173.50971096403185,163.94060637882743,163.85462825331348,159.81252786814022,167.73662270469555,162.05351622361843
21,04/04/23 00:10:47,50,135.0,90.0,306.99083065415863,172.71919662540574,183.7888755503027,176.86864903042388,171.01769789773851,189.90330009546508,175.84225974205728,178.43649409488108,176.84190281996115,170.0055706289319,167.9131367487847,171.4226553652197,164.22610827783362,162.43193386856487,165.59190795837952,173.3255723046386,167.8566569926083,165.14586959420163,164.0735957542151,169.2003915441294,166.3623364894008,167.71681265958287,164.6845046556424,156.56560199453733,156.96032197839855
22,04/04/23 00:11:05,50,0.0,160.2,307.01118990338944,187.05837312184696,176.4646928706214,170.9141451322045,178.2587332980859,179.38020514649898,186.95559602365017,169.87808561500094,169.49819770088968,168.66250556027657,167.70543310981355,181.33821672773604,179.98853755051678,173.92623440620173,172.60424201147794,169.248698271233,162.73427873914304,162.9487757645771,162.33390547899182,154.87358420753748,164.09689515147065,159.75238267891123,162.4838748162783,162.44306103899498,153.3286072838847
23,04/04/23 00:11:23,50,45.0,19.8,307.00759198867144,179.10961100277348,178.44063240449574,176.39613545659677,184.16551062444438,172.47444385355954,166.55434045529088,174.72347442054934,171.35063078248217,174.5004068235353,169.4154423214643,180.31954454350912,170.84959287376046,179.35079309886115,163.28561040583114,165.9881398922239,169.55235603001657,163.59115432074333,170.70092993873845,158.18843375848417,157.04003158122086,169.89392535830797,154.3989023650026,159.14136366096065,164.60077914660687
24,04/04/23 00:11:41,50,90.0,90.0,307.0133206063795,181.962112983155,175.22323187229392,178.17176894229894,170.97836013473534,172.7917485998446,180.70794682463142,160.2007439550222,179.27398346359257,175.89278307612855,163.1789063816446,171.68399904340694,168.5606270284481,164.19685148192403,172.96914502320485,172.61446824676855,177.99111618122097,167.5476621303745,163.32014481134942,162.8482051581935,167.00372208431043,175.72765822998554,171.10112840114832,162.63776129178078,164.87547784950868
25,04/04/23 00:11:59,50,135.0,160.2,307.02465087389226,172.3656453067549,172.63878790002752,173.73886945693152,177.80385987830982,178.4234874444729,167.0779807949174,169.15005672680294,176.4542810432504,169.99814862183612,169.03452417289665,175.65158881868092,170.99406840018898,171.8694498125794,175.39288151502475,178.66893748336594,173.17300820772752,162.8592189038925,157.66447106035224,163.9676675758329,166.02057583380653,160.2838890877978,170.20790503808243,166.75121076825002,158.99350691892528
26,04/04/23 00:12:17,50,0.0,19.8,307.0316065733993,176.9895427258537,182.9045202430593,177.16589735536698,178.40217466754783,175.11588155228515,173.00397093257592,173.23122428716601,173.51999185691977,170.39974308125758,168.0897060841894,174.24268392249232,169.58459870872113,166.02346089417483,156.04888602175623,168.44687458029387,174.63391122080705,162.23418395683294,157.14570178520796,166.64757753778179,165.98866945770004,160.09263939364968,158.38664333084031,161.53651690597044,168.94464132871795
27,04/04/23 00:12:35,50,45.0,90.0,307.0186464396822,180.61667358638604,185.97369556329951,180.34318448712682,181.36247934454934,180.15380223873194,181.15898753571702,168.60575342366465,174.5617410326415,174.26578858549445,172.987942613696,178.2095662515854,169.39199524886624,167.19165111031757,164.7732365343974,169.12925052586013,164.46250399481121,166.68116829803532,168.30950169891275,160.7811676590259,168.94422513517503,169.93767867559913,159.86268327293942,161.16380859600878,154.71163680620595
28,04/04/23 00:12:53,50,90.0,160.2,307.03309840012645,174.39633889384473,178.92169095566328,187.8431058522263,171.35785757439194,179.03923403425875,176.12488078947703,183.0959719962666,180.45267473815926,165.95436333433918,174.0339997033203,166.63103730414267,173.65692288986904,166.75455455106624,171.73231959077202,165.68058923977676,162.15980441879378,164.9633772155911,158.96655132282268,165.43296669029817,167.799178423266,170.65786316178372,163.3197641693634,154.22159129344797,152.52368092633256
29,04/04/23 00:13:11,50,135.0,19.8,307.0154191996736,182.14037612580358,184.40998530614402,179.3956446634518,171.05090731647994,176.41948060122564,170.52533605747215,167.89378783992424,171.21707256815694,166.268045423062,181.8166532736329,174.99649116015436,174.4842071930074,165.50714957698048,167.9423112777733,163.83875114327302,166.58947317270741,173.8688074987278,174.25324824834487,160.83279745926512,166.0360472997826,160.25628155048278,163.67330041879296,164.86271908160262,156.802345684669
30,04/04/23 00:13:29,50,0.0,90.0,307.0370650551751,176.99727668929364,180.93908504673453,179.5490916577189,180.00148231479824,172.28824067898043,172.0761255056313,172.58285640105493,176.64900052299873,169.45172729349505,176.92650237329616,176.59694039922255,167.78274700953068,169.80829566991613,170.55185167965726,171.97823617813063,167.23561643946158,152.83257761866173,154.8082144038169,161.29070721088445,163.12790245115966,160.5082317055823,165.03232193703445,164.09745626198435,159.77254005711018
31,04/04/23 00:13:47,50,45.0,160.2,307.03653492895216,179.21343614784067,176.57674090639014,178.56054488319364,179.5481326107991,169.61940790381252,179.7220675545239,176.10821647888972,173.57398511289847,172.6481473991174,169.9612996619733,163.18255529077842,168.22759630227932,166.08237170605622,166.34763113714104,164.21757272378449,173.09938422829225,172.2163956781585,174.3715780426051,157.98642549952248,155.84536109879232,161.87167750467844,172.46205802542144,172.35774373072567,161.8886021434205
32,04/04/23 00:14:05,50,90.0,19.8,307.0405200567693,176.63469494630482,180.58064081760256,168.310241496174,178.28699660700727,173.93239237755148,171.6435687619096,181.63220314843457,172.46786546957657,174.2412440963114,167.32506769418825,165.03128327020985,168.70275213038923,170.56072952765533,168.77182911872936,167.82714615007052,158.13742659800815,171.96061049167906,165.91570664781273,159.37488786385381,165.26957997267994,155.5296711044543,160.49762230476418,158.9739020500781,158.43704771817013
33,04/04/23 00:14:23,50,135.0,90.0,307.0697205858753,188.84581415311771,186.40504084551156,177.71272341854436,178.707968625884,180.3881563326252,176.31889009152638,167.18772117032802,178.99135096876986,180.00468257619036,174.2179321315838,160.69261016785947,158.50960001559076,168.89845007463168,167.5016892275257,165.0222229532692,174.18869656700653,155.3044285902714,164.3182489755689,157.1738262894479,164.1011225359538,157.59985915032595,157.3320674426634,161.54974008628403,161.34470021314453
34,04/04/23 00:14:41,50,0.0,160.2,307.0713389791556,178.74739804933196,177.76618876008055,177.37690478794417,172.80606491295526,176.4070920241074,174.69491728558415,179.4133116294486,176.85500939622264,176.14666054990127,164.38763118139667,168.7721978268858,161.67371147072453,167.18536132999392,173.34944665523372,169.03587025827534,164.9813664192571,163.188402724359,161.30768004332472,158.28334399509149,163.65103922856372,156.4028759914352,153.65741846773162,160.9313678089667,152.5571870520694
35,04/04/23 00:14:59,50,45.0,19.8,307.07613078775887,173.78106496094512,186.02327266740335,189.64669973336845,177.62219243935573,169.36266484259946,171.463791780739,173.90339360647474,177.0502112639887,171.31340521677706,180.40082647847464,173.96167871079138,176.3387735516429,164.09701868682097,169.03737599614377,168.5640170886811,163.89173599511795,163.29937179748478,166.2826914818328,168.68565467572034,156.16413759618828,157.8393274323779,157.15409984079764,167.8264512219333,166.28844262609093
36,04/04/23 00:15:17,50,90.0,90.0,307.0843744087839,183.68234586130006,165.6013305629441,176.8686860420959,178.4262880151036,176.9572650604748,185.94151566045423,169.44468674119656,180.01005881481663,172.51801852214024,177.6407349478688,178.3857543873512,178.2292424769862,166.2509820392468,169.9532867850732,172.58340797859537,161.46562116361372,158.61901934893413,164.5988390930077,159.17045294358093,157.64259946830802,162.0048925160241,161.14311687119775,159.96270885624068,159.15886540882127
37,04/04/23 00:15:35,50,135.0,160.2,307.0744563055736,174.1758543966589,183.52001995099883,180.04867892339948,174.09961990420828,178.72839867559298,179.10184167114755,177.37319871348257,174.29813533293867,168.31090408419453,170.10810742946873,171.95489437469982,169.4696750574278,173.62224616694715,166.91633998981473,165.55607760876202,158.9623110263156,162.47794573029876,171.01397336094448,177.7898090576575,169.02409778274375,164.05984196137052,170.99199239888557,162.54474549275702,165.86655180445464
38,04/04/23 00:15:53,50,0.0,19.8,307.0783926423648,180.41135072917692,178.9327028779527,177.45434347084432,186.08720965770303,171.46948470358225,164.89349373390857,175.14493992767268,176.68984108888884,172.31794533506076,162.975273152177,178.81445830809653,172.68460017812762,171.43683608357938,165.62465380770374,165.84374503420804,170.43940741309316,159.9011100485631,165.1555623018112,166.18144834551413,162.64751785443508,169.72823087039743,158.5181066937549,163.27608052012715,161.08065948604167
39,04/04/23 00:16:11,50,45.0,90.0,307.0805319036635,170.2615629429314,177.69531159260964,172.47739293945003,179.8203825147153,177.3502782224927,176.6443590492209,171.8414378721885,172.42162325762388,171.66009862859914,179.0031884766356,164.46375409734276,172.0509469437436,164.73735472964188,166.59277479714524,162.99218193994048,167.38302513740274,174.90822230118752,166.02881367398751,165.33192026776118,166.94567791875863,157.67683901081023,162.9179837553074,161.86252439550339,162.3436796580992
40,04/04/23 00:16:29,50,90.0,160.2,307.0876096599452,172.82731353148108,179.05748244125942,183.44322741376575,170.9030306377861,176.28102649863803,171.81148536517478,174.5998628965755,175.00211901667632,174.12531483853326,171.0694575931884,162.2556794052844,185.29743042694508,169.5301226944237,170.1361566617778,165.07286443211441,159.9749610163984,170.23359226344968,162.8675740192518,159.5242809620237,163.08809652619075,166.99855142053005,161.1252597303921,158.1056409206119,162.31708017713424
41,04/04/23 00:16:47,50,135.0,19.8,307.1022289554584,181.15074753714947,169.35903156740807,182.18697608645513,180.84051374879908,170.9733289990855,180.08078194482843,173.02248206914723,173.4287695642263,169.07376490091178,178.5294359611494,171.1930506894077,176.19909852367238,173.48859436596715,166.7571711276156,169.87903077954985,160.6475692366162,172.61117335451377,165.09910454354636,168.01581684180533,163.79348292484778,161.7051927888502,167.84753815982688,162.0064565396867,162.40498415789042
