Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.348,Ch  22.696,Ch  23.043,Ch  23.391,Ch  23.739,Ch  24.087,Ch  24.435,Ch  24.783,Ch  25.130,Ch  25.478,Ch  25.826,Ch  26.174,Ch  26.522,Ch  26.870,Ch  27.217,Ch  27.565,Ch  27.913,Ch  28.261,Ch  28.609,Ch  28.957,Ch  29.304,Ch  29.652,Ch  30.000
2,04/04/23 00:05:05,50,0.0,19.8,306.9045727864875,182.43085362604384,182.77005054357343,177.10979298701753,181.293746944029,171.59561364028585,177.38839357577257,170.76728786447637,174.4279130655048,173.47574094682085,174.71792847567178,163.2794923931028,172.30239271437986,168.8729122948882,160.29590862929388,169.2222441019915,170.68874768334487,164.35531588627617,168.7730344855517,165.8341177924045,160.54735459936404,167.2473975430416,161.43909474750814,173.4515102077471,165.31544161028654
3,04/04/23 00:05:23,50,45.0,90.0,306.90628519138306,179.6588926776008,180.33749037201525,180.39664660623285,173.1945812573091,180.80737633260375,178.80631072834134,174.5591406717744,177.5739110343228,176.36947757151083,180.18782179194784,168.65768689477477,170.6215230516819,165.13772937175892,171.76266731926944,178.55330513320564,162.695909301699,174.7822783316428,159.9223466317184,156.1471983071301,164.43852412624872,160.37868619454375,165.46344207907234,158.5654355362464,155.2176376864014
4,04/04/23 00:05:41,50,90.0,160.2,306.92039683375873,184.28486862959934,179.59861930976336,186.69676572802086,185.45170184160247,183.36114296456768,182.11385606801574,178.35397102965035,182.88955349808353,169.9988007837981,172.67653824028986,172.37699226377373,161.14399804759216,162.57941172911237,166.4289593182797,173.22813641277608,172.3509772787546,165.83542570401698,163.64121591204486,158.65332491552385,177.32510950000508,164.1357254759747,157.171946266067,159.4687939438961,161.71127430983026
5,04/04/23 00:05:59,50,135.0,19.8,306.9040345382047,187.5466633839735,177.5564304065956,175.60103257578254,170.31356313579806,172.3498416406096,180.85269827515137,179.04289876843617,167.65548008606004,183.43692874123028,174.11398575590633,171.47076489684403,169.92069651306508,170.51404967257383,171.48015961881222,166.12748339761592,173.66622513508855,158.50275585808197,167.59604662933734,167.99566065900348,162.92947547287534,160.22883331058208,163.58269326763624,166.02188370467005,156.4309100272375
6,04/04/23 00:06:17,50,0.0,90.0,306.9178791146966,178.36398841469077,171.272580119079,173.75315683905893,179.86034510513488,180.87337506496385,168.29858236156548,168.31588194868075,184.11296563984965,167.5481466416785,175.15938829034127,168.58877575699816,163.44719039447884,165.31821895319027,164.41411167950793,173.36691185564894,168.5584515435564,164.39299648961685,158.64150754819556,164.7369085659037,168.75938278930104,159.97096980331978,162.10614676415534,163.8137779538303,165.50998843293166
7,04/04/23 00:06:35,50,45.0,160.2,306.938705277452,178.99306383240372,175.69496235778476,175.91583296444435,188.5073310940256,178.7493923822669,171.12679733061748,173.27385113359708,164.316353097798,167.1362838140805,170.3315593011987,174.58234610497405,173.94689396999547,162.6176974604656,159.83499028774008,165.9494587085636,176.5042494190704,164.8870872901504,168.9461320723594,163.59165802234276,160.1261273610854,161.22658365198032,164.365135371973,170.2668504632211,152.54781409323076
8,04/04/23 00:06:53,50,90.0,19.8,306.91466082067546,188.54757061791645,177.47874746818925,183.48938669410728,173.09012926255215,181.28354647078675,178.87885678946628,173.0593886802269,173.80562454346247,179.4855391687494,173.94588199290985,166.61775221955347,172.9192803795594,166.9838595104712,161.20944652487674,158.28697082101198,163.73908228399208,153.25402984741078,164.66727085533176,165.091502292663,163.95482495745992,164.37087105072197,163.8364801947012,164.44071268440064,157.85689730402157
9,04/04/23 00:07:11,50,135.0,90.0,306.925631229003,183.13247246532478,183.7113447332635,179.19992393307606,173.85511451937248,185.30100286326476,177.51640248716475,170.81126135234385,176.149928330244,176.29709055024446,171.53217386694746,169.8877492205407,165.0306824966191,163.4527761927926,168.23137572678021,162.08095422149495,160.0285470421336,165.1107810087103,162.63858608616007,165.38103343332511,171.627562867303,159.51025136341676,173.31092995389733,158.36840358301623,161.18135819488285
10,04/04/23 00:07:29,50,0.0,160.2,306.95344136891634,177.5805650978971,180.77646325802286,175.54000557395406,177.81749820083616,175.2227355779923,178.15534937214557,183.53781692462954,175.2459398445079,176.0920143737022,172.59023056379428,171.8337630122183,167.79338504958403,177.92886259423904,169.92220171009234,158.40006437896432,157.9908575221809,164.86022089826758,168.70012817293716,161.57696471298158,160.27136260819825,168.81541330761337,158.4783675410979,163.7507763984247,167.75555717374357
11,04/04/23 00:07:47,50,45.0,19.8,306.94458625083234,182.35459320580566,169.95702699367087,180.46899971866003,174.51571906512095,172.39485129652317,194.5576243541929,176.4493102383328,170.44133886703375,175.8269987950668,167.95065711207675,173.51833498425654,164.78050798712675,173.61520916392743,163.81586203626685,165.71031252419104,174.0785362844522,169.20978133368206,167.08050084965387,160.0980954478208,172.18229664742572,157.77745212895223,158.7300688021809,166.05900626271324,159.3130416825109
12,04/04/23 00:08:05,50,90.0,90.0,306.9267910959397,177.73471862888817,180.80266172253317,178.7980644049081,169.6897942854459,172.12597407525766,178.55843355945981,168.52999601692747,172.924239319425,173.0340514895855,172.34827100772347,174.9142293094819,170.1731942152803,169.57716127767176,171.94042156075042,167.96998594542,170.28015711385123,175.38354408941635,163.46436756820293,165.37885945539543,167.06882763979308,161.72614452431762,158.71035512109606,165.06445347865056,157.2758094594845
13,04/04/23 00:08:23,50,135.0,160.2,306.9460707762346,176.92349195385825,176.45716410223665,182.3562352395914,176.98625994356576,171.69482842731713,180.58214283565601,178.6240591526356,170.70017952667624,167.80934712514994,173.91604522141503,164.93327808860712,174.46263493291139,176.21707880746402,159.6401925842778,175.4604142396077,165.9307391062877,170.97192239118746,170.26618104287863,158.7081029205909,159.91806771180342,159.66218108251257,158.2138855606909,162.65807609463735,168.65792606891247
14,04/04/23 00:08:41,50,0.0,19.8,306.97753379780295,180.62236457993072,175.15837800317945,174.1631573179312,171.4923390012961,175.5487838054648,179.83473595261003,184.8059429028159,170.37877291564035,172.83505427393874,178.842184304554,163.04633019450938,164.91870559911848,169.36461215164297,167.77780640277703,168.8732770474431,167.7689180928301,164.1550662910655,159.2246278884489,165.80164308762943,166.05285278694336,169.2561382960431,157.96474802039242,165.61549188747946,152.17248372001933
15,04/04/23 00:08:59,50,45.0,90.0,306.9714073743645,171.74059832076813,183.49581577087014,177.92955837628568,181.0662660450591,179.5344985485751,180.21612971362956,181.25193454246502,179.4680535074231,170.96466924736612,178.2772667179614,178.99973147963658,174.26201473034197,166.56579592872012,163.94757071915788,168.03758385653452,162.63607604669565,161.8613265220879,169.60406888312627,157.14190760982444,169.64803266175596,164.89846907878888,168.9912317350737,168.023061814373,150.3129697609567
