Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,DataQuality
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch  22.000, Ch  22.234, Ch  22.500, Ch  23.000, Ch  23.034, Ch  23.500, Ch  23.834, Ch  24.000, Ch  24.500, Ch  25.000, Ch  25.500, Ch  26.000, Ch  26.234, Ch  26.500, Ch  27.000, Ch  27.500, Ch  28.000, Ch  28.500, Ch  29.000, Ch  29.500, Ch  30.000, Ch  51.248, Ch  51.760, Ch  52.280, Ch  52.804, Ch  53.336, Ch  53.848, Ch  54.400, Ch  54.940, Ch  55.500, Ch  56.020, Ch  56.660, Ch  57.288, Ch  57.964, Ch  58.800,DataQuality
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
     1,04/01/23 00:04:24,41, 298.0600,  66.1600,1013.0000, 230.1300,0,1
     2,04/01/23 00:05:05,51,  0.00, 19.80,308.039,100.771,102.861,103.148, 98.631, 98.956, 96.496, 91.080, 86.246, 80.296, 72.900, 66.778, 64.640, 61.902, 57.795, 57.167, 61.967, 57.641, 63.198, 60.454, 58.576, 54.946,212.618,234.571,256.313,275.348,287.829,292.755,294.662,295.873,296.475,296.650,297.063,297.823,297.951,296.732,1
     3,04/01/23 00:05:22,51,  0.00, 90.00,308.031, 45.779, 46.030, 46.367, 44.084, 44.379, 45.326, 41.000, 37.723, 35.238, 31.171, 29.014, 27.268, 26.239, 23.552, 23.693, 31.460, 29.588, 32.970, 31.574, 30.151, 23.821,106.765,130.519,156.824,190.226,228.037,259.909,281.491,290.085,292.307,293.983,294.197,295.233,295.271,295.154,1
     4,04/01/23 00:05:40,51,  0.00,160.20,308.019,112.108,115.169,115.083,111.029,110.745,107.715,101.518, 97.496, 90.673, 82.649, 76.115, 71.600, 70.159, 66.381, 64.534, 69.898,143.820, 68.829, 66.464, 64.282, 60.541,216.165,237.109,258.334,276.833,288.645,292.498,294.843,295.896,296.610,296.651,296.513,296.504,297.252,297.480,1
     5,04/01/23 00:06:05,51, 45.00, 19.80,308.005, 97.079, 99.332, 99.340, 94.880, 95.994, 93.323, 86.475, 83.002, 76.731, 70.423, 64.201, 61.339, 59.202, 55.843, 55.317, 60.686, 55.989, 61.173, 58.181, 56.716, 52.368,209.841,232.372,254.451,274.660,287.494,292.304,294.933,295.953,296.197,296.572,296.242,296.614,296.404,296.751,1
     6,04/01/23 00:06:22,51, 45.00,160.20,307.999,112.116,114.573,114.465,110.806,111.316,108.320,101.222, 97.371, 90.719, 82.843, 76.205, 71.941, 70.139, 66.131, 64.827, 69.853,115.309, 69.821, 66.662, 64.540, 60.827,216.900,237.721,258.993,276.781,288.187,293.128,294.273,295.737,296.007,296.459,296.761,296.695,297.143,296.519,1
     7,04/01/23 00:06:23,41, 297.9500,  66.6200,1013.0000, 230.4700,0,1
     8,04/01/23 00:06:45,51, 90.00, 19.80,307.988,100.875,102.902,102.918, 98.771, 99.723, 96.574, 89.927, 85.596, 79.778, 72.845, 67.426, 64.310, 61.754, 58.255, 57.182, 62.478, 59.088, 63.300, 60.569, 58.228, 54.631,209.719,232.548,254.574,274.856,287.468,292.603,294.658,295.868,296.262,296.574,296.803,296.853,297.270,296.953,1
     9,04/01/23 00:07:03,51, 90.00,160.20,307.981,111.738,113.877,114.040,110.430,111.388,108.003,101.271, 98.580, 90.560, 82.643, 75.884, 71.782, 69.893, 65.420, 64.437, 68.885, 72.246, 69.763, 66.903, 64.317, 60.794,216.410,238.359,259.159,277.181,288.200,292.630,294.236,295.121,295.146,295.885,296.249,296.701,297.614,296.523,1
