Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000,Ch  51.248,Ch  51.760,Ch  52.280,Ch  52.804,Ch  53.336,Ch  53.848,Ch  54.400,Ch  54.940,Ch  55.500,Ch  56.020,Ch  56.660,Ch  57.288,Ch  57.964,Ch  58.800,DataQuality
2,04/08/23 00:05:08,51,0.0,19.8,306.206,184.056,186.594,187.209,181.425,181.487,174.278,165.793,158.395,149.57,138.914,130.192,124.25,122.269,119.587,117.646,119.883,114.147,116.517,114.912,114.259,110.054,239.268,253.432,267.001,278.063,287.276,291.291,293.059,293.388,293.619,293.835,293.504,294.968,293.99,294.942,1.0
3,04/08/23 00:05:26,51,0.0,90.0,306.212,92.399,94.818,94.825,90.488,91.506,87.452,82.42,76.566,73.073,66.565,62.703,59.98,58.144,58.13,59.475,64.047,62.422,65.815,65.17,64.58,57.456,155.827,174.02,193.897,216.479,244.171,267.738,282.549,288.633,290.831,291.687,293.018,293.63,293.216,293.671,1.0
4,04/08/23 00:05:43,51,0.0,160.2,306.208,222.659,225.252,225.746,223.082,223.223,219.526,214.932,209.598,206.649,201.204,197.191,194.77,194.523,193.693,194.287,197.183,250.211,197.971,198.941,200.233,198.914,270.69,275.628,280.843,285.244,289.684,292.262,293.11,293.338,294.449,293.931,294.201,294.869,294.697,294.851,1.0
5,04/08/23 00:06:06,51,45.0,19.8,306.208,194.294,196.749,197.031,192.086,192.349,185.887,179.162,171.715,165.715,155.763,149.696,145.098,143.281,141.208,140.749,142.492,138.166,141.066,140.131,139.537,137.245,250.273,260.884,271.812,280.518,288.198,291.714,293.468,293.65,294.262,293.532,294.244,294.771,294.298,295.255,1.0
6,04/08/23 00:06:24,51,45.0,160.2,306.211,239.263,241.332,241.749,240.141,240.71,238.832,235.673,231.353,230.804,226.954,225.092,223.952,223.882,223.779,224.883,227.674,260.448,228.463,229.38,231.456,230.254,275.008,278.451,283.739,285.918,289.87,292.291,293.139,293.403,293.751,293.43,294.584,294.475,293.575,295.203,1.0
8,04/08/23 00:06:47,51,90.0,19.8,306.213,184.731,187.931,188.142,182.621,182.559,175.498,167.486,160.363,152.496,142.001,134.211,128.112,125.971,123.813,121.961,123.945,120.903,121.906,120.329,120.466,115.742,245.356,257.45,269.763,279.743,287.926,291.876,292.48,293.621,293.744,293.537,293.959,294.402,293.507,295.223,1.0
9,04/08/23 00:07:05,51,90.0,160.2,306.215,205.877,208.643,209.556,205.19,205.243,199.885,193.588,188.689,182.284,174.497,169.409,165.238,164.367,162.953,162.503,165.378,166.518,165.349,165.713,166.153,163.911,263.907,270.823,278.119,283.716,288.993,292.184,292.792,293.039,293.95,293.732,293.326,294.31,293.643,294.401,1.0
11,04/08/23 00:07:28,51,135.0,19.8,306.219,226.212,227.796,229.004,226.553,226.901,223.933,220.451,215.761,213.268,208.858,206.36,204.652,204.037,203.522,205.026,207.7,232.956,208.935,209.79,211.969,209.78,271.15,275.86,280.925,284.628,289.575,291.873,292.778,293.695,293.319,294.15,294.003,294.884,293.436,294.838,1.0
12,04/08/23 00:07:46,51,135.0,160.2,306.221,197.267,200.571,200.518,195.647,195.869,189.471,182.52,174.898,168.773,158.726,152.501,146.16,144.676,142.983,141.624,144.483,140.513,141.94,141.674,140.512,137.516,251.92,262.511,273.002,281.384,288.009,291.445,292.765,293.543,293.444,293.592,293.984,294.745,293.822,294.28,1.0
15,04/08/23 00:09:39,51,0.0,19.8,306.255,181.332,184.462,184.331,179.201,178.141,170.918,162.24,157.433,146.492,134.752,126.018,119.583,115.955,113.298,111.896,113.509,113.392,110.203,108.992,107.321,102.399,236.326,251.164,266.11,278.709,287.686,291.319,292.733,293.881,294.098,293.989,294.586,294.781,295.728,294.848,1.0
16,04/08/23 00:09:56,51,0.0,90.0,306.261,103.401,106.206,106.036,103.306,102.411,100.253,95.517,93.094,87.125,81.475,78.854,76.665,75.677,75.015,77.72,82.208,85.671,84.74,85.07,84.885,79.046,180.561,195.988,211.586,230.791,253.491,271.644,284.001,288.729,290.732,291.691,293.313,293.184,293.503,293.794,1.0
17,04/08/23 00:10:14,51,0.0,160.2,306.267,221.449,223.757,224.563,221.825,221.8,217.895,213.457,210.664,205.183,199.567,196.037,192.702,192.421,191.421,192.246,194.436,252.05,196.723,197.607,199.171,197.199,271.232,276.163,281.754,285.689,289.979,291.438,292.618,293.563,293.774,293.783,293.885,294.94,294.785,294.02,1.0
18,04/08/23 00:10:37,51,45.0,19.8,306.278,188.363,191.584,191.631,186.444,185.853,179.245,171.668,166.643,157.485,146.254,139.289,133.164,131.215,128.998,128.24,129.138,131.086,128.336,127.034,125.613,123.146,243.872,256.545,269.222,279.592,287.553,291.595,292.671,294.21,293.766,294.026,294.646,294.258,294.544,294.973,1.0
19,04/08/23 00:10:55,51,45.0,160.2,306.285,244.072,245.977,246.657,245.402,245.463,244.099,240.685,239.705,236.337,233.334,231.987,230.344,229.833,230.506,231.322,233.592,271.91,235.352,236.781,240.987,239.101,278.223,280.863,284.744,287.16,290.414,291.854,293.045,293.663,293.605,293.521,293.994,294.677,294.968,294.438,1.0
21,04/08/23 00:11:18,51,90.0,19.8,306.296,188.714,191.826,192.229,187.032,186.387,180.154,172.516,168.081,158.273,148.826,140.883,135.466,132.994,131.262,130.116,132.876,134.371,131.542,131.494,130.812,126.825,251.656,261.78,272.541,281.451,288.024,291.236,293.177,293.503,294.075,293.574,294.694,294.595,294.31,294.968,1.0
22,04/08/23 00:11:35,51,90.0,160.2,306.303,205.987,208.98,209.507,206.314,205.664,200.732,194.48,192.231,183.535,175.471,170.342,166.124,164.527,163.45,163.863,166.131,172.059,166.435,167.864,167.561,166.293,265.791,272.197,278.822,284.402,289.039,291.886,292.495,293.436,293.297,293.401,294.612,293.976,294.294,294.421,1.0
24,04/08/23 00:11:58,51,135.0,19.8,306.31,225.926,228.71,229.292,227.1,226.64,224.161,220.018,218.695,213.249,208.922,205.934,203.8,203.382,203.056,204.255,207.195,240.415,209.108,210.778,211.535,211.005,274.445,277.947,283.386,286.162,289.78,291.946,293.025,293.485,293.409,293.663,294.506,294.58,294.98,294.766,1.0
25,04/08/23 00:12:16,51,135.0,160.2,306.315,192.197,195.618,195.842,190.572,189.89,183.293,174.738,170.281,160.66,150.28,142.402,135.97,133.014,131.051,130.021,131.846,132.223,130.267,128.658,127.956,124.045,250.567,261.46,272.789,282.103,288.502,291.315,292.989,293.089,293.698,293.242,294.698,294.834,294.864,294.282,1.0
28,04/08/23 00:13:16,51,0.0,19.8,306.328,182.767,186.159,186.322,181.031,179.857,173.288,164.692,159.209,149.435,138.426,130.304,123.394,120.385,118.681,116.421,118.58,119.149,116.235,114.823,113.612,108.925,242.424,256.085,268.344,278.986,287.776,290.733,292.725,293.894,294.382,294.321,294.767,294.564,295.176,294.922,1.0
29,04/08/23 00:13:33,51,0.0,90.0,306.334,113.379,116.416,116.455,113.984,113.303,111.482,107.4,104.631,100.223,95.764,93.481,90.569,89.583,90.585,91.954,97.282,99.961,100.053,100.795,101.114,96.826,197.542,210.401,224.169,240.201,259.26,275.606,285.738,289.925,292.063,292.483,293.646,294.506,294.393,294.059,1.0
30,04/08/23 00:13:50,51,0.0,160.2,306.34,226.273,228.203,228.89,226.674,226.139,223.521,219.166,216.424,211.661,206.548,203.561,200.72,199.789,199.907,200.02,202.925,254.521,204.432,205.276,205.917,209.714,273.193,277.764,281.921,286.008,289.653,291.853,293.805,294.313,294.248,294.69,294.493,294.689,295.666,295.22,1.0
31,04/08/23 00:14:14,51,45.0,19.8,306.338,192.253,195.334,195.429,190.52,189.843,183.786,176.606,171.572,162.851,153.404,146.625,141.371,139.108,137.412,135.725,138.152,140.111,137.829,136.296,134.88,133.627,249.302,260.776,271.247,280.716,287.825,291.28,293.403,293.496,293.926,294.306,294.711,295.222,294.92,295.098,1.0
32,04/08/23 00:14:32,51,45.0,160.2,306.337,244.589,246.34,247.064,246.032,245.688,244.267,241.776,240.021,237.435,234.854,233.138,231.708,230.648,231.852,231.527,234.608,270.913,236.406,237.513,245.645,239.048,278.423,281.61,284.576,286.516,290.35,292.08,293.148,294.052,294.297,294.837,294.963,294.84,294.556,294.576,1.0
34,04/08/23 00:14:54,51,90.0,19.8,306.339,202.228,205.126,205.498,201.452,201.02,195.861,189.984,186.253,178.586,171.636,166.036,161.752,159.343,158.974,158.65,161.182,164.893,162.035,161.795,161.872,160.234,262.565,270.201,277.101,282.818,288.729,291.591,293.314,293.783,294.19,294.427,295.596,294.818,295.242,295.518,1.0
35,04/08/23 00:15:12,51,90.0,160.2,306.341,209.138,211.824,212.932,208.916,208.737,203.652,197.839,196.017,188.109,181.119,175.684,172.004,169.847,169.756,169.186,172.654,179.259,173.48,173.885,174.282,173.167,268.626,274.555,279.955,284.257,289.132,291.71,293.219,293.322,293.722,294.325,295.015,294.763,295.371,294.34,1.0
37,04/08/23 00:15:35,51,135.0,19.8,306.343,222.988,225.413,225.632,223.342,222.551,220.369,215.936,214.034,208.974,204.122,201.207,199.051,197.69,198.19,198.61,201.425,231.233,203.609,204.265,206.857,205.33,274.571,278.582,282.153,286.207,290.415,292.12,293.729,294.146,294.762,294.327,295.3,295.04,294.805,295.599,1.0
38,04/08/23 00:15:53,51,135.0,160.2,306.338,200.756,203.907,204.382,200.069,199.351,193.099,187.131,181.969,174.224,165.304,159.079,153.967,151.725,150.701,149.795,151.911,154.84,151.738,151.446,150.894,148.875,261.393,269.995,277.095,283.018,288.626,291.309,292.94,293.297,293.763,293.931,294.419,294.912,294.513,294.566,1.0
41,04/08/23 00:16:52,51,0.0,19.8,306.328,185.91,189.188,190.052,184.056,183.817,177.064,168.477,164.081,153.448,143.23,134.548,128.681,126.386,123.931,123.239,124.371,126.947,123.131,121.774,121.1,116.521,245.575,258.391,270.259,280.87,287.932,291.008,292.829,293.753,294.422,294.133,294.782,295.049,294.983,294.657,1.0
42,04/08/23 00:17:09,51,0.0,90.0,306.328,118.273,121.216,121.894,119.609,119.976,117.887,113.615,111.148,106.589,102.066,100.001,99.034,97.693,98.517,101.196,106.039,109.667,109.352,109.721,110.645,106.281,208.276,220.082,231.751,247.207,263.51,276.918,286.599,290.386,292.757,293.359,294.01,294.243,294.542,294.112,1.0
43,04/08/23 00:17:27,51,0.0,160.2,306.327,228.899,231.145,232.048,229.398,229.552,227.102,222.838,220.397,215.298,210.354,207.259,205.034,204.247,204.289,205.319,207.746,259.949,208.883,210.021,211.087,210.799,274.032,278.488,282.673,286.893,289.794,292.906,293.422,293.823,294.975,294.977,295.525,295.418,295.808,295.244,1.0
44,04/08/23 00:17:50,51,45.0,19.8,306.326,197.745,200.5,200.609,196.664,196.224,190.785,184.042,179.471,170.45,161.981,155.465,150.912,148.969,146.903,147.824,149.849,152.998,149.04,148.475,147.965,146.608,256.705,266.047,274.974,282.872,289.03,291.634,293.174,293.977,294.458,294.694,295.508,295.776,295.596,295.121,1.0
45,04/08/23 00:18:08,51,45.0,160.2,306.325,241.699,243.806,244.211,243.195,243.261,241.686,238.5,237.041,232.793,230.062,227.854,226.957,226.058,226.428,227.639,229.963,266.073,231.63,232.17,234.459,235.17,278.022,281.309,284.373,288.007,290.75,292.983,293.983,293.973,294.73,294.685,295.366,294.904,295.656,295.12,1.0
47,04/08/23 00:18:31,51,90.0,19.8,306.321,216.594,219.113,219.924,216.573,216.659,212.735,208.389,205.126,199.094,193.445,188.688,186.497,184.976,185.113,185.746,189.149,192.853,189.909,190.854,191.285,190.599,270.316,275.9,281.054,285.778,290.317,292.193,293.372,294.316,294.772,295.07,295.373,295.331,294.894,295.191,1.0
48,04/08/23 00:18:49,51,90.0,160.2,306.318,215.124,217.819,218.942,215.964,215.433,211.219,205.688,204.454,195.889,189.945,185.625,182.401,181.49,180.557,181.712,184.986,194.053,186.235,186.839,187.611,186.232,272.463,277.442,282.156,286.422,290.24,292.528,293.26,293.877,294.744,295.097,295.304,294.76,295.007,295.118,1.0
50,04/08/23 00:19:12,51,135.0,19.8,306.321,225.855,228.19,228.995,226.271,226.25,224.253,219.994,218.095,212.388,207.739,205.177,203.12,202.335,202.392,203.741,206.171,235.124,207.743,208.746,209.509,209.93,273.983,278.589,282.786,287.019,289.892,292.251,293.373,293.957,294.857,294.507,294.935,294.845,295.233,294.81,1.0
51,04/08/23 00:19:30,51,135.0,160.2,306.314,207.042,209.572,210.442,206.475,206.598,201.292,194.75,191.036,183.017,175.462,169.682,165.409,163.677,163.077,163.014,165.979,169.735,165.865,166.15,166.176,164.37,267.423,273.401,279.973,285.504,289.924,292.691,293.319,293.971,294.984,295.391,295.058,294.822,295.036,295.205,1.0
54,04/08/23 00:20:29,51,0.0,19.8,306.303,191.469,194.822,195.544,190.253,189.763,184.338,176.279,172.076,162.573,153.295,145.904,140.032,138.608,136.908,135.71,137.436,141.357,136.396,136.766,135.541,132.607,254.021,264.536,273.98,282.01,288.789,291.886,292.923,293.68,293.834,293.717,294.475,294.663,294.425,294.959,1.0
55,04/08/23 00:20:46,51,0.0,90.0,306.302,116.905,119.331,120.664,117.543,117.916,116.126,111.094,109.241,104.519,99.946,98.22,95.717,95.737,95.569,98.164,103.216,106.73,106.161,107.28,107.557,103.035,205.057,216.82,229.992,244.592,262.099,277.329,286.265,290.463,291.548,292.978,293.397,294.165,293.848,293.936,1.0
56,04/08/23 00:21:04,51,0.0,160.2,306.298,229.921,232.07,233.047,230.754,230.455,227.964,223.956,221.75,216.889,212.341,209.459,207.51,207.009,207.037,207.049,209.905,259.908,211.266,212.55,213.676,219.721,275.031,279.116,283.075,286.894,290.234,292.432,293.462,294.178,293.63,294.022,294.683,294.901,294.922,295.256,1.0
57,04/08/23 00:21:27,51,45.0,19.8,306.298,219.441,222.066,223.408,219.432,219.29,216.908,212.146,209.299,203.786,198.416,196.0,193.449,192.73,192.674,192.795,196.031,200.809,197.439,198.691,198.663,199.174,272.753,277.499,281.687,285.511,289.773,292.201,293.22,293.556,294.415,294.817,294.121,294.803,294.641,294.911,1.0
58,04/08/23 00:21:45,51,45.0,160.2,306.296,236.087,238.573,239.786,237.672,237.52,236.001,232.035,230.641,226.505,222.736,220.974,219.053,218.679,218.896,219.72,221.92,255.748,223.778,224.901,225.669,225.859,276.315,280.029,284.009,286.878,290.179,292.9,294.014,294.084,293.754,294.462,294.085,294.818,294.804,294.859,1.0
60,04/08/23 00:22:08,51,90.0,19.8,306.291,234.205,236.299,237.433,235.412,235.412,234.001,230.119,228.77,224.672,221.563,219.175,218.658,218.486,218.24,219.332,222.226,226.849,224.117,225.873,227.335,226.436,277.768,281.497,284.39,287.065,290.519,292.362,293.799,293.827,294.084,293.85,295.474,294.864,294.831,295.268,1.0
61,04/08/23 00:22:25,51,90.0,160.2,306.289,220.042,222.833,223.786,220.631,220.632,217.617,211.563,210.486,203.448,197.889,193.846,191.09,190.079,190.065,190.354,193.095,201.582,194.88,196.006,196.798,195.729,273.398,278.056,282.447,286.731,289.993,292.494,293.528,294.039,294.362,293.856,294.843,295.45,294.329,295.394,1.0
63,04/08/23 00:22:48,51,135.0,19.8,306.285,230.624,233.043,233.808,231.808,231.678,230.166,226.405,224.134,219.933,216.339,214.304,212.631,212.233,212.286,213.373,216.016,245.076,217.489,219.666,224.173,220.644,276.592,280.112,283.652,286.704,290.601,292.403,293.26,293.453,293.592,294.305,294.718,295.398,295.037,294.951,1.0
64,04/08/23 00:23:06,51,135.0,160.2,306.284,207.823,211.508,212.368,207.921,207.675,203.253,196.899,192.682,184.969,177.881,172.526,168.192,166.973,165.622,165.873,168.186,171.576,168.384,169.664,169.215,167.514,268.351,274.21,279.959,285.38,289.521,292.519,293.095,293.868,294.001,294.1,294.789,294.863,294.733,294.47,1.0
67,04/08/23 00:24:05,51,0.0,19.8,306.274,194.345,197.83,197.942,193.439,192.872,187.221,179.759,175.567,166.923,158.08,151.123,146.609,144.96,142.777,142.418,144.277,147.699,143.863,143.79,144.213,139.986,259.032,268.0,276.753,283.356,289.041,291.442,293.096,293.308,293.811,294.04,295.599,295.003,295.369,294.861,1.0
68,04/08/23 00:24:23,51,0.0,90.0,306.279,119.864,122.782,123.261,120.08,120.184,118.481,114.401,112.15,107.758,103.758,101.282,99.206,99.751,100.541,102.427,106.9,111.143,110.393,111.394,111.616,106.945,211.877,223.139,234.943,248.448,264.271,277.136,286.598,290.713,291.64,292.681,294.287,293.468,293.753,293.41,1.0
69,04/08/23 00:24:40,51,0.0,160.2,306.278,227.45,230.076,230.479,227.995,227.818,224.803,220.738,218.236,213.885,208.711,205.751,203.287,202.893,202.268,203.028,206.345,253.292,206.97,207.875,212.477,208.4,273.424,277.954,283.252,286.866,289.896,291.426,293.425,293.488,294.179,294.203,295.41,294.988,295.65,294.767,1.0
70,04/08/23 00:25:04,51,45.0,19.8,306.274,223.05,226.098,225.912,223.717,223.095,221.131,216.94,214.168,209.551,203.745,201.499,199.295,199.635,198.771,199.063,201.921,205.599,203.365,204.737,205.631,205.372,272.729,277.043,281.892,285.652,289.394,291.232,292.629,293.553,294.182,293.701,295.446,293.986,294.911,294.26,1.0
71,04/08/23 00:25:21,51,45.0,160.2,306.267,233.237,235.693,236.267,234.034,234.014,231.862,228.165,226.573,222.303,218.074,215.436,214.112,214.034,213.117,214.135,216.653,251.851,218.541,219.732,220.601,219.981,274.869,279.066,283.508,286.133,289.6,290.951,292.431,293.327,293.529,293.795,294.854,293.563,295.026,293.672,1.0
73,04/08/23 00:25:45,51,90.0,19.8,306.255,232.007,235.064,235.24,233.571,233.409,231.837,227.886,226.476,223.148,219.588,217.516,216.453,216.639,216.198,217.482,220.08,224.418,222.232,223.823,225.065,224.452,277.189,280.888,283.52,286.35,289.544,290.955,292.024,293.146,293.01,293.212,294.026,294.051,294.314,293.443,1.0
74,04/08/23 00:26:03,51,90.0,160.2,306.252,220.038,223.021,223.178,220.432,220.095,217.24,212.084,210.624,203.905,197.925,194.148,191.41,190.886,190.525,190.978,193.086,199.732,194.733,195.764,196.055,194.625,272.109,277.091,281.996,285.965,289.592,291.297,293.177,293.275,293.987,294.269,294.623,293.793,294.996,294.391,1.0
76,04/08/23 00:26:26,51,135.0,19.8,306.247,235.949,238.481,238.854,237.61,237.088,236.329,232.982,231.61,228.507,225.415,223.385,222.892,222.888,222.511,223.638,226.563,256.763,227.972,230.25,231.235,230.974,277.149,280.835,283.851,286.9,289.984,291.88,292.829,293.341,293.954,294.348,295.738,294.073,294.249,294.618,1.0
