Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
2,04/09/23 00:05:06,51,0.0,19.8,308.392,162.679,166.005,165.873,160.226,160.471,154.432,145.397,139.932,129.595,118.436,108.684,101.15,98.272,95.487,93.483,94.602,89.044,91.378,89.294,87.44,80.418
3,04/09/23 00:05:24,51,0.0,90.0,308.397,72.147,74.922,74.65,70.622,70.719,68.811,62.675,57.788,53.753,46.723,43.056,38.87,37.732,37.241,38.062,42.36,40.308,42.903,41.555,40.34,31.952
4,04/09/23 00:05:41,51,0.0,160.2,308.401,162.811,165.502,165.807,160.63,160.433,154.253,145.194,138.58,129.854,117.896,108.962,100.758,99.129,96.161,94.197,95.602,169.851,91.936,89.859,87.613,81.047
5,04/09/23 00:06:04,51,45.0,19.8,308.405,161.181,164.353,164.787,159.316,159.077,152.545,143.558,137.233,128.307,116.984,106.771,99.973,96.777,94.237,92.588,94.175,88.891,90.626,88.396,86.324,79.34
6,04/09/23 00:06:22,51,45.0,160.2,308.411,164.985,167.872,168.225,163.192,162.757,156.64,147.499,141.521,132.052,120.193,111.26,103.155,100.54,97.787,95.343,97.063,136.451,93.025,91.274,88.64,82.75
8,04/09/23 00:06:45,51,90.0,19.8,308.413,159.27,161.496,162.928,156.894,156.712,150.458,141.916,135.108,125.774,115.101,105.861,98.527,95.772,93.583,91.099,93.187,88.755,88.937,87.076,84.44,78.247
9,04/09/23 00:07:02,51,90.0,160.2,308.421,167.462,170.801,170.984,165.825,165.497,159.132,150.285,144.806,134.507,122.226,113.236,105.293,102.346,100.146,97.387,98.589,99.804,94.563,93.246,89.905,83.657
11,04/09/23 00:07:25,51,135.0,19.8,308.42,159.788,163.117,163.341,158.135,157.59,151.831,142.562,137.517,127.411,116.01,106.855,99.404,96.704,93.774,91.55,93.746,117.262,89.94,88.673,85.776,78.742
12,04/09/23 00:07:43,51,135.0,160.2,308.423,169.088,171.898,172.894,167.256,167.255,160.642,151.313,143.955,135.816,123.871,114.192,105.714,103.807,100.932,98.613,99.487,94.729,95.182,93.607,91.069,84.537
15,04/09/23 00:09:37,51,0.0,19.8,308.442,163.128,165.643,166.613,161.415,161.083,154.973,145.337,140.083,129.633,117.65,108.456,101.044,96.747,94.953,92.951,94.548,93.705,91.221,89.346,87.551,81.121
16,04/09/23 00:09:54,51,0.0,90.0,308.452,72.505,74.501,75.046,71.357,71.37,69.566,63.244,59.776,54.008,47.124,43.805,39.131,37.612,36.554,37.909,42.388,45.392,43.157,42.197,40.495,32.596
17,04/09/23 00:10:12,51,0.0,160.2,308.454,162.655,166.337,166.338,161.565,161.316,154.812,145.636,140.855,130.106,117.903,109.788,101.555,97.452,95.177,93.498,95.244,169.64,91.824,90.2,87.962,81.865
18,04/09/23 00:10:35,51,45.0,19.8,308.457,159.519,162.201,162.728,157.949,157.379,150.925,141.641,136.205,125.833,114.669,106.008,98.152,94.42,91.88,89.764,91.522,91.572,88.699,86.813,85.151,78.947
19,04/09/23 00:10:53,51,45.0,160.2,308.462,163.319,166.811,166.981,162.201,161.829,155.613,146.518,141.566,130.786,118.826,110.593,102.374,98.42,95.22,93.857,95.778,139.114,91.865,89.687,88.074,82.208
21,04/09/23 00:11:16,51,90.0,19.8,308.462,159.253,161.965,162.31,157.568,157.227,150.967,141.507,136.657,125.7,114.554,105.84,98.409,94.357,92.417,90.431,92.063,92.201,89.487,87.02,85.654,79.127
22,04/09/23 00:11:34,51,90.0,160.2,308.464,166.0,169.177,169.896,165.174,164.437,157.75,148.804,145.098,132.19,120.417,111.817,103.819,99.713,97.113,95.004,96.573,101.067,93.28,90.592,89.213,83.045
24,04/09/23 00:11:57,51,135.0,19.8,308.474,158.998,161.858,162.073,157.364,156.451,150.196,141.692,137.819,125.973,114.275,106.153,98.456,94.441,92.038,90.23,91.465,124.499,88.494,86.878,85.259,78.518
25,04/09/23 00:12:15,51,135.0,160.2,308.479,168.813,171.864,172.06,167.475,166.852,160.919,151.163,145.522,134.766,123.172,113.785,105.283,101.274,99.011,97.078,98.448,98.349,94.535,93.146,91.098,84.705
28,04/09/23 00:14:07,51,0.0,19.8,308.502,161.325,164.494,165.472,159.971,159.22,153.402,144.966,139.449,128.004,117.356,107.953,100.313,97.627,94.016,92.179,92.913,92.611,90.246,88.197,86.994,80.51
29,04/09/23 00:14:25,51,0.0,90.0,308.514,71.848,74.518,74.537,71.924,71.047,68.606,63.337,59.606,53.518,47.765,43.378,39.037,38.044,36.896,37.487,41.592,44.589,42.363,41.635,40.62,32.397
30,04/09/23 00:14:42,51,0.0,160.2,308.517,163.614,166.266,167.32,161.999,161.927,155.291,146.991,141.204,130.735,119.526,110.597,102.136,99.769,96.488,94.067,96.299,177.154,91.171,89.909,88.23,82.09
31,04/09/23 00:15:05,51,45.0,19.8,308.522,159.641,162.413,163.077,157.729,157.849,151.123,142.512,137.131,126.131,116.322,106.424,99.097,96.121,92.525,91.027,92.896,91.994,89.248,87.525,85.384,79.829
32,04/09/23 00:15:23,51,45.0,160.2,308.525,163.722,167.243,167.859,162.382,161.912,156.097,147.724,142.227,130.597,119.429,110.309,101.976,100.668,96.173,94.392,96.073,142.182,91.612,90.24,88.451,82.642
34,04/09/23 00:15:46,51,90.0,19.8,308.53,159.052,162.024,162.831,157.702,156.787,151.002,141.973,137.262,126.214,115.757,106.236,99.133,96.28,93.346,91.393,92.295,92.421,88.696,87.742,85.809,79.115
35,04/09/23 00:16:04,51,90.0,160.2,308.538,165.849,168.456,169.808,164.459,163.925,157.654,148.514,145.318,132.275,120.731,111.386,103.767,100.825,97.414,95.518,96.755,100.766,92.373,91.093,88.942,82.814
37,04/09/23 00:16:28,51,135.0,19.8,308.548,158.146,161.465,162.355,157.321,156.986,150.134,141.701,137.791,125.438,114.949,105.818,98.408,95.562,91.884,89.986,91.794,120.662,88.629,87.037,84.367,78.604
38,04/09/23 00:16:46,51,135.0,160.2,308.553,167.34,170.467,171.638,165.573,165.493,158.927,150.048,143.673,133.023,121.947,112.479,105.224,102.469,98.248,96.318,97.933,96.493,93.904,91.686,89.596,83.618
41,04/09/23 00:18:38,51,0.0,19.8,308.55,161.698,165.248,165.48,160.065,159.604,152.979,144.551,139.427,127.906,116.45,107.737,100.878,97.207,94.323,92.036,93.058,93.154,90.488,88.993,87.234,81.471
42,04/09/23 00:18:56,51,0.0,90.0,308.553,70.802,74.03,74.306,70.312,70.27,68.114,62.33,59.266,52.764,46.733,42.837,38.876,37.551,36.288,37.594,41.398,45.142,42.738,41.591,40.259,32.734
43,04/09/23 00:19:13,51,0.0,160.2,308.554,162.542,165.937,166.014,161.093,160.687,154.324,145.685,140.132,129.384,117.699,108.588,101.777,98.604,94.798,93.683,94.775,171.358,91.211,89.231,87.974,81.987
44,04/09/23 00:19:37,51,45.0,19.8,308.553,158.827,162.973,162.812,157.026,157.128,150.686,142.117,136.856,126.017,114.703,105.824,99.035,95.994,92.485,90.594,92.056,91.438,89.086,87.33,85.489,79.65
45,04/09/23 00:19:55,51,45.0,160.2,308.553,163.528,166.839,167.283,161.813,161.477,154.976,146.958,141.62,130.688,118.921,110.011,103.12,99.656,95.906,94.053,95.068,146.851,91.55,90.252,88.545,82.224
47,04/09/23 00:20:18,51,90.0,19.8,308.552,159.041,162.398,162.67,157.184,157.058,150.48,142.342,137.237,126.149,114.914,106.288,99.222,96.081,92.146,90.986,91.752,92.961,89.672,86.847,85.49,79.893
48,04/09/23 00:20:36,51,90.0,160.2,308.546,165.967,169.148,170.173,164.144,164.108,157.258,148.819,145.727,132.629,120.331,111.327,104.252,101.336,97.714,95.286,95.857,101.466,92.844,91.626,89.553,84.095
50,04/09/23 00:20:58,51,135.0,19.8,308.538,159.069,162.604,162.941,157.253,157.09,151.024,142.165,138.652,126.377,115.302,106.954,99.483,96.819,92.505,91.614,92.263,120.738,89.443,87.5,85.684,79.903
51,04/09/23 00:21:16,51,135.0,160.2,308.53,165.806,169.596,170.319,164.132,163.938,157.336,148.547,142.771,131.921,119.947,111.227,103.904,101.139,96.843,95.508,96.09,95.555,92.507,91.331,89.676,82.982
54,04/09/23 00:23:09,51,0.0,19.8,308.469,161.204,164.431,164.12,159.282,158.859,152.439,143.42,137.919,126.708,115.427,106.266,99.765,95.801,93.319,91.151,92.621,92.123,89.345,87.514,86.247,79.495
55,04/09/23 00:23:27,51,0.0,90.0,308.466,72.724,74.803,74.845,71.102,71.612,69.198,62.97,59.563,53.598,46.389,42.567,39.292,37.265,37.481,38.115,42.15,45.569,42.442,41.906,41.084,31.713
56,04/09/23 00:23:44,51,0.0,160.2,308.459,162.914,166.055,165.708,160.896,160.803,154.5,145.99,140.781,129.54,118.18,108.565,102.336,98.13,95.462,93.106,94.751,178.943,91.57,90.35,87.986,81.473
57,04/09/23 00:24:07,51,45.0,19.8,308.447,158.941,162.156,162.348,157.164,157.139,150.341,142.209,136.429,125.836,114.283,105.295,98.404,93.705,91.84,90.64,91.281,91.09,88.941,87.148,85.385,78.7
58,04/09/23 00:24:25,51,45.0,160.2,308.439,163.344,166.406,166.33,162.283,161.883,155.209,146.139,141.566,130.49,118.704,109.67,102.556,98.28,95.702,93.917,94.741,141.543,92.17,90.059,88.374,82.168
60,04/09/23 00:24:48,51,90.0,19.8,308.428,158.584,161.85,162.359,157.004,157.198,150.819,142.18,136.918,125.896,114.433,104.791,98.997,94.888,92.428,90.891,92.185,92.69,88.721,87.153,85.303,79.474
61,04/09/23 00:25:06,51,90.0,160.2,308.417,165.56,169.037,169.341,164.212,164.264,157.5,148.663,145.378,132.562,119.819,110.87,103.818,99.89,96.904,94.909,96.482,99.584,92.729,91.184,89.198,82.822
63,04/09/23 00:25:29,51,135.0,19.8,308.398,160.634,163.628,163.951,158.566,159.076,152.248,143.918,139.219,127.684,115.899,106.979,100.248,95.618,93.812,91.99,92.794,124.836,89.968,88.284,86.696,79.611
64,04/09/23 00:25:47,51,135.0,160.2,308.385,166.349,169.354,169.825,164.964,164.395,157.994,149.405,143.648,132.611,120.449,111.726,104.308,100.356,97.381,95.894,96.464,96.668,93.645,91.543,89.98,83.501
67,04/09/23 00:27:40,51,0.0,19.8,308.322,160.106,163.417,163.226,157.93,157.532,151.464,142.401,137.764,126.039,115.033,105.706,98.761,96.368,91.936,90.558,91.929,92.082,90.022,87.441,85.055,79.007
68,04/09/23 00:27:57,51,0.0,90.0,308.318,72.092,74.306,74.453,71.146,70.296,68.599,62.977,60.212,52.686,46.518,42.65,38.487,37.693,36.355,37.661,42.501,45.545,42.494,41.822,40.061,32.069
69,04/09/23 00:28:15,51,0.0,160.2,308.31,162.33,165.65,165.891,160.663,160.543,154.301,145.678,141.125,130.341,118.042,109.477,101.242,99.656,95.736,94.367,96.266,176.259,92.833,90.4,88.172,82.142
