Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
2,04/04/23 00:05:05,51,0.0,19.8,306.9696546740748,138.03291977881344,141.41091977881342,141.13891977881343,136.83191977881341,136.93491977881342,131.86391977881343,125.40391977881342,118.66691977881342,111.11691977881343,102.11591977881342,94.94091977881342,90.15191977881342,86.52991977881342,82.85491977881343,80.81891977881342,83.82291977881343,80.01991977881342,81.96791977881342,79.38491977881343,77.22891977881342,74.83891977881342
3,04/04/23 00:05:22,51,0.0,90.0,306.98767366111093,62.40699298640853,64.40899298640853,65.12299298640853,61.69099298640853,61.807992986408536,60.47699298640853,56.22999298640853,51.31599298640853,47.73099298640854,42.634992986408534,40.37399298640853,37.707992986408534,35.63599298640853,34.240992986408536,34.57599298640854,40.03599298640854,39.97699298640853,41.49899298640853,38.92199298640853,37.09299298640853,33.29499298640853
4,04/04/23 00:05:40,51,0.0,160.2,306.9518075248727,146.42742177153926,150.20542177153925,150.62342177153926,145.53242177153925,144.99342177153923,140.04242177153924,132.80442177153924,125.77542177153924,117.81542177153925,107.39542177153925,100.73642177153924,93.06242177153925,90.18242177153924,86.30542177153924,83.55542177153924,87.09342177153924,163.41642177153923,84.32242177153924,81.00442177153924,78.82742177153925,75.84542177153925
5,04/04/23 00:06:03,51,45.0,19.8,306.96473928247354,135.18933081977534,138.91733081977534,138.80933081977534,134.13933081977532,134.34033081977535,129.57633081977534,123.13733081977536,115.99633081977535,109.27233081977535,100.47733081977535,93.42233081977535,87.26433081977535,84.60533081977535,80.81233081977535,78.92033081977536,82.49133081977536,78.14233081977535,81.31133081977535,77.50033081977536,75.80533081977535,72.51433081977535
6,04/04/23 00:06:21,51,45.0,160.2,306.96684739643047,150.49992013552682,154.4059201355268,154.12992013552682,150.0019201355268,149.6349201355268,144.29692013552682,137.5979201355268,130.4239201355268,121.81392013552683,111.65392013552682,104.43392013552682,96.96392013552682,93.86992013552683,89.94592013552682,87.20192013552682,90.34792013552682,132.24892013552682,87.01092013552682,84.20692013552683,81.94292013552682,79.20292013552682
8,04/04/23 00:06:44,51,90.0,19.8,306.9484546652623,134.41283596176189,137.2708359617619,138.0388359617619,133.98083596176187,133.58183596176187,129.08283596176187,121.89083596176187,114.84683596176187,108.02783596176187,99.01883596176187,91.54983596176187,86.03283596176186,82.71783596176186,78.93783596176186,77.05083596176186,80.67483596176187,76.80483596176187,78.45983596176187,76.24483596176186,73.46683596176187,70.47383596176186
9,04/04/23 00:07:02,51,90.0,160.2,306.9402015206535,146.84976162056458,150.13576162056458,150.45176162056458,145.85576162056458,145.20376162056456,140.42376162056456,132.97776162056456,127.21576162056455,117.85376162056455,107.17976162056455,99.40776162056456,92.64676162056456,89.77376162056456,86.02176162056456,82.87376162056455,86.05476162056455,84.91876162056455,83.76476162056456,80.24876162056455,77.97176162056455,75.45476162056455
11,04/04/23 00:07:24,51,135.0,19.8,306.9471281956366,135.57537265776537,138.94037265776535,139.76337265776536,134.39137265776537,134.26137265776535,129.41837265776536,122.56737265776536,116.22537265776536,108.93137265776537,99.20337265776536,91.97637265776537,86.63837265776536,83.26737265776536,79.58637265776537,76.75337265776537,80.76037265776536,107.56837265776537,78.93837265776536,76.43037265776536,73.26737265776536,70.90937265776536
12,04/04/23 00:07:42,51,135.0,160.2,306.941949902921,146.33722428036918,149.6782242803692,150.1412242803692,145.47922428036918,145.35422428036918,140.2262242803692,132.85522428036919,125.05522428036917,118.51422428036918,108.52322428036918,101.31622428036918,94.74522428036917,91.66122428036918,87.83822428036918,85.56522428036918,89.24622428036918,84.57922428036917,86.59822428036918,83.70022428036918,80.94922428036918,78.13222428036917
15,04/04/23 00:09:36,51,0.0,19.8,306.9454089601981,136.77268253852114,139.25368253852113,139.41168253852112,135.85868253852112,135.66168253852112,131.17368253852112,122.70368253852111,119.23768253852111,110.04868253852112,101.24168253852112,93.99168253852112,87.94268253852111,84.89168253852111,81.51668253852111,79.78668253852112,83.04868253852112,83.90868253852112,80.86568253852111,78.67168253852111,76.35068253852111,73.30968253852112
